round,Centralized,model,c_loss,c_accuracy,c_recall,c_precision,c_f1_score
1,Centralized,VGG11,0.13876224348545074,0.0513,0.03248796002823078,0.0513,0.02237831032995669
2,Centralized,VGG11,0.11309277923107147,0.1377,0.1346059092582747,0.1377,0.09978820708768976
3,Centralized,VGG11,0.10764409432411194,0.1683,0.1528174230162211,0.16829999999999998,0.12470289496599599
4,Centralized,VGG11,0.09474179091453552,0.2388,0.28065093921174644,0.2388,0.21490769216731928
5,Centralized,VGG11,0.08780224636793137,0.2775,0.3116488276902375,0.2775,0.25551145656416535
6,Centralized,VGG11,0.0926896593093872,0.2715,0.3728932265880946,0.2715,0.26408241173427244
7,Centralized,VGG11,0.08281216495037079,0.3219,0.397471448987246,0.3219000000000001,0.3163737995240383
8,Centralized,VGG11,0.07441471126079559,0.3795,0.40492121357189215,0.3795,0.3661515820295632
9,Centralized,VGG11,0.07907692869901657,0.3666,0.40863152920961426,0.36660000000000004,0.35467378870954724
10,Centralized,VGG11,0.07567027024030686,0.4059,0.4323764966859576,0.40590000000000004,0.3983414607846906
11,Centralized,VGG11,0.09249572348594666,0.3665,0.4472501326470606,0.3665,0.3697972836982313
12,Centralized,VGG11,0.08600474330186844,0.4039,0.45888160117245613,0.4039,0.40365526050970574
13,Centralized,VGG11,0.08196952272653579,0.4133,0.43408448703242536,0.4133,0.41019930701727425
14,Centralized,VGG11,0.09023512461185455,0.4023,0.43166204050194584,0.40230000000000005,0.40273533552818874
15,Centralized,VGG11,0.08946782718896866,0.4126,0.44016563682112986,0.4126000000000001,0.41148969426900167
16,Centralized,VGG11,0.10129490681886673,0.4046,0.44327185498376764,0.4046,0.4041092386210078
17,Centralized,VGG11,0.10143529678583145,0.4062,0.4424277328926248,0.40619999999999995,0.405802153734378
18,Centralized,VGG11,0.10406318125724792,0.4083,0.43330166166281564,0.40830000000000005,0.4091376036050947
19,Centralized,VGG11,0.10685693904161453,0.3869,0.4226504718611795,0.3868999999999999,0.38182764299847394
20,Centralized,VGG11,0.11088277858495713,0.4048,0.4415951289171683,0.4048,0.4059953611120731
21,Centralized,VGG11,0.11312258547544479,0.4113,0.4364420300400003,0.41129999999999994,0.4091049377155057
22,Centralized,VGG11,0.11806572077274323,0.4028,0.4472959177437324,0.4028,0.40431668373227736
23,Centralized,VGG11,0.1201868017911911,0.4032,0.43608535237894613,0.4032,0.40426704826747417
24,Centralized,VGG11,0.12732438873052598,0.4199,0.43938549420822126,0.4199,0.41902645440073116
25,Centralized,VGG11,0.11727266186475754,0.4245,0.4364037630630929,0.42450000000000004,0.4227069930990499
26,Centralized,VGG11,0.12151649777889252,0.4055,0.43418115220848164,0.4055,0.40445427208224866
27,Centralized,VGG11,0.1314065319299698,0.4079,0.44352797172870495,0.40790000000000004,0.41228637277972185
28,Centralized,VGG11,0.11623447241783143,0.4256,0.4403693269993905,0.4256,0.4251405003424387
29,Centralized,VGG11,0.12247213777303696,0.4128,0.43912850554268945,0.41279999999999994,0.41161701357846825
30,Centralized,VGG11,0.11557442779541016,0.4217,0.4452262871271316,0.42169999999999996,0.4232804169774483
31,Centralized,VGG11,0.12374481436014176,0.4228,0.4387730881813159,0.4228,0.42276245461886247
32,Centralized,VGG11,0.12289552491903305,0.4324,0.4467166686501013,0.4324,0.4326400865226299
33,Centralized,VGG11,0.11685737549066544,0.4263,0.448994570640286,0.42629999999999996,0.42953149633680515
34,Centralized,VGG11,0.11985038797855377,0.4363,0.4493985993229359,0.4363,0.4331752313653283
35,Centralized,VGG11,0.13072965153455735,0.4257,0.44245596820605015,0.4257,0.4259837191066982
36,Centralized,VGG11,0.12392282146215439,0.4282,0.44619083480014815,0.4281999999999999,0.42728641183809296
37,Centralized,VGG11,0.12973397505283354,0.4201,0.4453869453615728,0.4201,0.4232914595379594
38,Centralized,VGG11,0.13401373209953307,0.4262,0.4489712403810687,0.4262,0.4278485705279881
39,Centralized,VGG11,0.12412235407829285,0.4309,0.45167513860754654,0.43089999999999995,0.431515714404391
40,Centralized,VGG11,0.12272122724056243,0.4306,0.44166309208296467,0.4305999999999999,0.42956554358317484
41,Centralized,VGG11,0.12736887578964234,0.4329,0.44070547581034314,0.4329,0.4292974828667262
