round,Centralized,model,c_loss,c_accuracy,c_recall,c_precision,c_f1_score,d_accuracy,d_recall,d_precision,d_f1_score
1,Federated,VGG16,0.14407947487831116,0.01,0.0001,0.01,0.00019801980198019803,0.0112,0.00011261100803957947,0.010061018346732634,0.0002222157048173547
2,Federated,VGG16,0.14380128927230834,0.01,0.0001,0.01,0.00019801980198019803,0.009600000000000001,9.681302824159967e-05,0.010081220366934655,0.00019167750556748833
3,Federated,VGG16,0.14305401844978333,0.0103,0.00023743763141755058,0.0103,0.0004221258431291612,0.0088,0.00031758969285799294,0.011207070707070707,0.0005342882193473808
4,Federated,VGG16,0.14249091157913207,0.016,0.001236781058365392,0.016,0.001812483869159689,0.012,0.0006477974718866684,0.012858589785120398,0.0012054185533608842
5,Federated,VGG16,0.1420201665878296,0.025,0.0039475489697485535,0.025,0.004611449366617902,0.026000000000000002,0.0026015709376532394,0.02696850232156354,0.004037656030771013
6,Federated,VGG16,0.14023370037078858,0.0263,0.004836842717131931,0.0263,0.006076240610312188,0.029199999999999997,0.0052348091239625355,0.031004248837582172,0.00717904740014592
7,Federated,VGG16,0.13883342151641845,0.0258,0.007744888400234799,0.0258,0.005640372540104921,0.024,0.002270470877178564,0.024768781105515798,0.0038395094229800855
8,Federated,VGG16,0.13755415000915527,0.0307,0.010947210989957218,0.030699999999999998,0.00805802482895663,0.034,0.007654346733975749,0.034659476691109345,0.00960201552240729
9,Federated,VGG16,0.13591224331855775,0.0438,0.021585902679004773,0.0438,0.01472417591867357,0.044399999999999995,0.015684496066674533,0.04696467738610595,0.015231384924150038
10,Federated,VGG16,0.1338927196741104,0.0453,0.014172097109792375,0.0453,0.015864116732465093,0.0404,0.009128108470710005,0.04194993586660253,0.012224740466107354
11,Federated,VGG16,0.13157109396457672,0.0528,0.014564095441272571,0.0528,0.017672660218735644,0.0528,0.013239633543701704,0.049322615932820016,0.015153659396096985
12,Federated,VGG16,0.12930884437561035,0.0578,0.015892481857806926,0.05779999999999999,0.020763647518631526,0.0588,0.015110128651496366,0.059557936507936504,0.02041596622514874
13,Federated,VGG16,0.1279790062904358,0.0637,0.021527359913442467,0.0637,0.02566765747416368,0.06,0.02144380459133736,0.06038008207463989,0.023683200726070237
14,Federated,VGG16,0.12664497153759002,0.0739,0.032172438035635145,0.0739,0.03295100604816299,0.078,0.025371181658146568,0.0781159468775115,0.032351458800288765
15,Federated,VGG16,0.12539913985729217,0.0796,0.03771727876444162,0.0796,0.03850913856579638,0.0748,0.026134878749016294,0.07345007215007215,0.031094149768035463
16,Federated,VGG16,0.1238415441274643,0.0873,0.035380894477030606,0.08729999999999999,0.042276547144400996,0.078,0.03165395736476765,0.0804729154946842,0.036059178216963576
17,Federated,VGG16,0.12265833187103271,0.0913,0.0343303519265483,0.0913,0.04399253624385757,0.09159999999999999,0.034798286083642306,0.0892326167659501,0.040596374186480405
18,Federated,VGG16,0.1214151364326477,0.1007,0.044385237148519746,0.1007,0.05367607784785409,0.1044,0.04557764425465161,0.10871770179933445,0.05504325172290784
19,Federated,VGG16,0.11983113081455231,0.1055,0.045898658393995415,0.10549999999999998,0.056958516578838915,0.1096,0.050472814129090604,0.1072152161393658,0.05752975772490523
20,Federated,VGG16,0.11868407340049744,0.1128,0.058193731839130694,0.11280000000000001,0.06345573176604392,0.1004,0.04418474367056387,0.10542489528611979,0.05439568155141313
21,Federated,VGG16,0.11793711693286896,0.1156,0.07386912449657437,0.11559999999999998,0.06672498419403876,0.11279999999999998,0.04893174340746692,0.11036825396825396,0.060843083001883194
22,Federated,VGG16,0.11670040459632873,0.1184,0.0731976559201004,0.1184,0.07021429759305405,0.1096,0.05692232248979641,0.10883415903824067,0.06132337996011265
23,Federated,VGG16,0.1158234195947647,0.1224,0.08321134496331808,0.12240000000000001,0.07506937421707566,0.1312,0.07520117884497099,0.1258363371322555,0.07671310841538151
24,Federated,VGG16,0.1146052184343338,0.1313,0.09997868864010821,0.13130000000000003,0.08892481892785861,0.1368,0.08305648777642546,0.13047759524426192,0.08479903745972872
25,Federated,VGG16,0.11339882016181946,0.1363,0.09582561513843231,0.13629999999999998,0.09261160937667805,0.1292,0.0809499204302083,0.13163667012000344,0.08283562464957187
26,Federated,VGG16,0.11250505874156952,0.1384,0.10172786852639738,0.13840000000000002,0.09426803777974686,0.1368,0.0849923106952998,0.1328782686449353,0.08617501953507087
27,Federated,VGG16,0.11153342022895812,0.1457,0.1151414436542336,0.14570000000000002,0.10521030446906378,0.15200000000000002,0.10083900370945605,0.15095194805194806,0.10264963121979194
28,Federated,VGG16,0.11064945302009582,0.152,0.11741952344310246,0.152,0.10927291936677425,0.1396,0.09274290394954567,0.14056271721475802,0.09135640797904682
29,Federated,VGG16,0.10982537047863007,0.1566,0.1265316498714221,0.15660000000000002,0.1155895271923863,0.15760000000000002,0.11886617540238094,0.15687822671156001,0.11303298052030056
30,Federated,VGG16,0.10894436452388763,0.1593,0.13590429630443202,0.1593,0.11947583232017876,0.1568,0.11321384849116459,0.15636490731490732,0.11110384639550794
31,Federated,VGG16,0.10820174095630646,0.1629,0.14206374858628343,0.16290000000000002,0.12408196445602637,0.174,0.13287984855659316,0.1754927547760881,0.1255280724934195
32,Federated,VGG16,0.10738983702659607,0.1656,0.13429174768855426,0.1656,0.126159388535052,0.16840000000000002,0.12065940504284159,0.162797113997114,0.11799486752191288
33,Federated,VGG16,0.10622568485736847,0.1799,0.15146562992545456,0.17990000000000003,0.13964948803026148,0.17639999999999997,0.12556536439939925,0.1748541686708353,0.12774937647323603
34,Federated,VGG16,0.10518239622116089,0.1828,0.17003455451886856,0.18280000000000002,0.14340193778212848,0.1868,0.1405692808622893,0.18410632083965414,0.13787188853476862
35,Federated,VGG16,0.10422582604885101,0.1934,0.1684109349354087,0.19339999999999996,0.15401611754425032,0.1848,0.15253841836876253,0.18529058005486573,0.13941912340917134
36,Federated,VGG16,0.10342422959804536,0.1952,0.17245446797687283,0.19519999999999996,0.15284197768934976,0.18839999999999998,0.14014209798839614,0.19365941527608194,0.13896645849434397
37,Federated,VGG16,0.10237049226760864,0.2003,0.1771939220807492,0.2003,0.15967502471916406,0.19119999999999998,0.14830858825041487,0.1951458152958153,0.1414068577620104
38,Federated,VGG16,0.10110439772605896,0.2067,0.18350134376028662,0.2067,0.1677916701518824,0.2104,0.16227103050072436,0.20489904971571637,0.15716594077965879
39,Federated,VGG16,0.10043239114284515,0.2141,0.1913709505883032,0.2141,0.1767620098614427,0.22680000000000003,0.184047238863274,0.22838196248196246,0.17617049110262664
40,Federated,VGG16,0.09965709416866303,0.2171,0.19016486648474742,0.21710000000000002,0.1788424852010224,0.21400000000000002,0.17891995949261283,0.21399068905281027,0.1650670914555995
41,Federated,VGG16,0.0986710102558136,0.2226,0.19621389900860295,0.2226,0.18657059180813754,0.22719999999999999,0.17793207269988803,0.22885649350649348,0.17430525418286327
42,Federated,VGG16,0.09777751092910766,0.2305,0.21270160232518265,0.2305,0.19733333869464711,0.21880000000000002,0.18647710845764215,0.2238841436341436,0.17519675571642546
43,Federated,VGG16,0.09716876859664916,0.2331,0.20754667853118786,0.23309999999999995,0.19551502866547313,0.2324,0.1866401779592956,0.2374979797979798,0.18279562108969835
44,Federated,VGG16,0.09576381175518035,0.2429,0.22762113802658152,0.24290000000000003,0.20899899806538624,0.23879999999999998,0.19520763558271997,0.2508093759214971,0.19230123089405265
45,Federated,VGG16,0.09492944848537445,0.251,0.24070723887407885,0.251,0.21619443399058805,0.246,0.20174522478883067,0.24571204249265471,0.19330109639138293
46,Federated,VGG16,0.09432462842464447,0.2552,0.22685956629590887,0.25520000000000004,0.21850043548507653,0.246,0.19875636616305065,0.24922732525611316,0.19416483546712807
47,Federated,VGG16,0.09353336787223816,0.2564,0.2345307818592072,0.2564,0.22274267600764566,0.2532,0.2158940207758835,0.25865186788520117,0.20825274649094708
48,Federated,VGG16,0.09274792361259461,0.2634,0.24725686684032663,0.2633999999999999,0.23102228047611015,0.2548,0.22446186276743552,0.26542568542568545,0.21066934281170785
49,Federated,VGG16,0.09216411211490631,0.2696,0.2492070670254,0.26959999999999995,0.2377823736013359,0.2732,0.2321951625172213,0.274078083028083,0.22281141700688742
50,Federated,VGG16,0.09128386054039002,0.2729,0.2622136616545766,0.2729,0.24348669368207454,0.2676,0.22609282465900113,0.26499424464424465,0.21479538208295645
51,Federated,VGG16,0.09107195062637329,0.2765,0.2626438361414112,0.27649999999999997,0.24491000978376326,0.27440000000000003,0.24539745994745993,0.2781112999234211,0.22907963176070104
52,Federated,VGG16,0.09029825236797333,0.2798,0.2632482950833605,0.27979999999999994,0.25065241218276024,0.258,0.22569189144189142,0.2614126429126429,0.21372337208714914
53,Federated,VGG16,0.08959783347845078,0.2774,0.258508940066761,0.2774,0.2489499965533199,0.2828,0.25223719417837065,0.2820566544566544,0.2413908369015409
54,Federated,VGG16,0.08917086859941482,0.2849,0.26801913835018476,0.28490000000000004,0.2531887096030038,0.28600000000000003,0.2493072528778411,0.292115096015096,0.2385514989504894
55,Federated,VGG16,0.08809457542896271,0.2951,0.29062142385901324,0.29510000000000003,0.26851761835003035,0.27759999999999996,0.24770004871289694,0.27989171939171936,0.23774474589931982
56,Federated,VGG16,0.08764148349761963,0.2968,0.2811943477015242,0.29680000000000006,0.26717311317727094,0.2864,0.2575119024766083,0.2914775058275058,0.2434776401135844
57,Federated,VGG16,0.08713170266151428,0.2996,0.2825824894361964,0.29960000000000003,0.27196644575268447,0.2992,0.266612076159135,0.2975209401709401,0.2542694400433625
58,Federated,VGG16,0.08690131649971009,0.3026,0.28417646106571565,0.3026,0.27360411117682526,0.294,0.25524451104451107,0.29142685647685646,0.246100286026871
59,Federated,VGG16,0.08595463705062867,0.306,0.296161442510115,0.306,0.27875624511417335,0.2952,0.265243718673827,0.29903030303030304,0.2540241041709072
60,Federated,VGG16,0.08552386765480041,0.3118,0.29280425622869183,0.3118,0.2840651855353057,0.31320000000000003,0.27541123043623045,0.31024307359307357,0.26425853915307407
61,Federated,VGG16,0.08496660919189453,0.312,0.29282338411301434,0.31200000000000006,0.28444577287327755,0.3168,0.28439104506604507,0.3172746198246198,0.2695074843576728
62,Federated,VGG16,0.08466408005952836,0.3182,0.3117119698198415,0.3182,0.29585745946058095,0.3188,0.2845658929305988,0.31418941058941063,0.26938530814618444
63,Federated,VGG16,0.08428234624862671,0.322,0.31070715457048376,0.322,0.2970845761494881,0.3104,0.2767414835164835,0.3103225996225996,0.2640339204266516
64,Federated,VGG16,0.0838866817355156,0.3257,0.3225759241888899,0.3257,0.3038472389239825,0.3108,0.29347348876613577,0.3112790931290931,0.2705717635335753
