round,Centralized,model,c_loss,c_accuracy,c_recall,c_precision,c_f1_score,d_accuracy,d_recall,d_precision,d_f1_score
1,Federated,Resnet18,0.14714198727607727,0.0108,0.0009371650580041628,0.010799999999999999,0.0012622307442696982,0.0112,0.0009118913140828723,0.011143844666293645,0.0015480074832907034
2,Federated,Resnet18,0.14237836446762084,0.0207,0.039307688194918776,0.0207,0.0101680400193793,0.022399999999999996,0.011317757104357232,0.01921032547699214,0.008834846551433684
3,Federated,Resnet18,0.12931085743904114,0.0671,0.08034048753042632,0.0671,0.04518182816821466,0.0656,0.0577394771246594,0.07129891578565048,0.04437709625121623
4,Federated,Resnet18,0.11857479848861695,0.1207,0.15144809599006348,0.12069999999999999,0.09729332632929014,0.124,0.12207727673591806,0.12173547008547007,0.09575720449591979
5,Federated,Resnet18,0.11093816077709198,0.1632,0.18774486564548365,0.1632,0.1450342673671095,0.16560000000000002,0.16187788792944152,0.1594112634279301,0.13604415023349958
6,Federated,Resnet18,0.10650230150222778,0.1879,0.19282138598970813,0.18789999999999998,0.164341798543763,0.202,0.18731594763726273,0.20152236652236652,0.16620027713693492
7,Federated,Resnet18,0.10190128014087677,0.2141,0.22076571657283522,0.21409999999999996,0.19696980072351397,0.21559999999999996,0.20559123492606463,0.2084846486846487,0.18067516268434158
8,Federated,Resnet18,0.09957975168228149,0.2316,0.23745958791309377,0.2316,0.21388436458907478,0.23679999999999998,0.23094269294447548,0.23577377745711078,0.2008975841659808
9,Federated,Resnet18,0.09692738430500031,0.2445,0.24380639203002502,0.24449999999999997,0.22603756322133225,0.2548,0.24597343073666839,0.2548823552990219,0.22142430730510382
10,Federated,Resnet18,0.09469764161109924,0.2583,0.2599807013138461,0.25830000000000003,0.24252938841744306,0.24559999999999998,0.2389484246129522,0.24754394741061403,0.2129958112260369
11,Federated,Resnet18,0.09260454742908478,0.2758,0.2731455928197428,0.27580000000000005,0.2603573271962053,0.268,0.26872168759971793,0.2684950222616889,0.23422205047120234
12,Federated,Resnet18,0.09075158281326294,0.2865,0.28517172250127815,0.28650000000000003,0.2719078917359416,0.27440000000000003,0.27172244422244424,0.2716494227994228,0.24257371244923945
13,Federated,Resnet18,0.08954657793045044,0.2911,0.2878233523063831,0.29109999999999997,0.2764789833395792,0.28840000000000005,0.2834823153454732,0.2861529581529581,0.25873648651272807
14,Federated,Resnet18,0.08787653224468231,0.3022,0.30073735416465514,0.3022,0.28922538820914473,0.28880000000000006,0.2928998858984153,0.28805266955266956,0.2577035308173079
15,Federated,Resnet18,0.08672244160175324,0.3086,0.3042883015073013,0.3086,0.2950396867455507,0.3104,0.30755421735127614,0.3099951825951826,0.2800136497764361
16,Federated,Resnet18,0.08562696599960327,0.3187,0.311733179182381,0.3187,0.30584881064525715,0.30000000000000004,0.300690120990121,0.30496356421356424,0.27517632859629765
17,Federated,Resnet18,0.08460621629953384,0.331,0.33151974488277763,0.331,0.32132142158099014,0.3156,0.32795403762903763,0.3233842712842712,0.2941899404046396
18,Federated,Resnet18,0.08401349850893021,0.3327,0.33248465230299695,0.33270000000000005,0.3224900743540556,0.3276,0.3251782661782662,0.3332879176379176,0.29802773058382964
19,Federated,Resnet18,0.08317463494539261,0.3367,0.337029018665162,0.3367,0.3264085424885957,0.3296,0.3347333170361691,0.33559992846659514,0.2997104393648045
20,Federated,Resnet18,0.08254180331230164,0.3415,0.339856466115679,0.3415000000000001,0.33259036982425494,0.33920000000000006,0.33149405801830045,0.339117044067044,0.3076652533805825
21,Federated,Resnet18,0.0817755831360817,0.3502,0.3494759036143993,0.3502,0.34169023857702946,0.34040000000000004,0.3483050573609397,0.34605995670995665,0.3157257824194222
22,Federated,Resnet18,0.0810652326464653,0.3541,0.3535284071349606,0.35409999999999997,0.3467310249130404,0.35679999999999995,0.35759470529470533,0.36377784992784995,0.3319983445967293
23,Federated,Resnet18,0.08101174811124802,0.3565,0.35999651693229745,0.3565,0.3506604761712903,0.35,0.35551325863678807,0.35640523365523363,0.3260119585257625
24,Federated,Resnet18,0.08076226748228073,0.3566,0.3591168914139946,0.35660000000000003,0.3508566178145779,0.36,0.36931665001665004,0.36334126984126985,0.3382988642007151
25,Federated,Resnet18,0.08062877535820007,0.3593,0.36445210521397087,0.35930000000000006,0.3542641197320126,0.35559999999999997,0.3659177100677101,0.35763873348873354,0.33078770367918975
26,Federated,Resnet18,0.08022702634334564,0.3679,0.3656670359000473,0.3679,0.36013848082961863,0.36599999999999994,0.3651271450771451,0.36628034188034186,0.33672018253504316
27,Federated,Resnet18,0.0800749613404274,0.3673,0.36834454949835144,0.36729999999999996,0.3617394610838221,0.3736,0.3869364564728201,0.383484151034151,0.3539668796749667
28,Federated,Resnet18,0.07989685174226761,0.3702,0.37133896631720487,0.3702,0.3642912226809588,0.3684,0.36588343878343876,0.36336810966810973,0.3374869618407703
29,Federated,Resnet18,0.07995385302305222,0.372,0.37441653385953444,0.3720000000000001,0.36648918609818376,0.35280000000000006,0.35820029970029965,0.3619290043290043,0.3313080059775106
30,Federated,Resnet18,0.07981316548585891,0.3753,0.37647738643882206,0.3753000000000001,0.3696395593148835,0.36760000000000004,0.3651492451992452,0.3691171384171384,0.34045420700730294
31,Federated,Resnet18,0.08032117600440979,0.3719,0.3747019173933055,0.37189999999999995,0.3668762398961546,0.38079999999999997,0.38042258297258297,0.3750261183261183,0.35116712546139794
32,Federated,Resnet18,0.08013559908866882,0.3771,0.38126963349165693,0.3771,0.37299567249831256,0.37360000000000004,0.3756638230456412,0.3834372010705344,0.34930952970439794
33,Federated,Resnet18,0.08020052710771561,0.3804,0.3827538015025203,0.3804,0.37600912827656174,0.36560000000000004,0.36169862034710515,0.36689742726409397,0.33626206777468154
34,Federated,Resnet18,0.08045553797483444,0.3821,0.3835116527497924,0.38209999999999994,0.3768012248437537,0.3792,0.3816606354924537,0.38628069584736247,0.3555305150448299
35,Federated,Resnet18,0.08092000353336334,0.3811,0.3876042363635179,0.3811,0.3781040736968574,0.36199999999999993,0.3674974842217266,0.35563900246779034,0.33319955579700866
36,Federated,Resnet18,0.08141752698421478,0.3814,0.3867340556570598,0.3814,0.37861708043539993,0.37,0.3664178210678211,0.3672151515151515,0.3414088958610227
37,Federated,Resnet18,0.08152504789829254,0.3844,0.38848110602754404,0.3844000000000001,0.3812382886226214,0.37720000000000004,0.378931364931365,0.37193660856539645,0.3494119334889153
38,Federated,Resnet18,0.08190470390319825,0.3851,0.3862444332986804,0.3851000000000001,0.3811234026340727,0.3747999999999999,0.368676923076923,0.3801599234099234,0.34891310687189
39,Federated,Resnet18,0.08259131749868392,0.3863,0.3870827215879827,0.3863,0.3814848253314558,0.374,0.3659107004107004,0.36983445443445445,0.34046983786767077
40,Federated,Resnet18,0.08284373421669006,0.3844,0.3880991883351888,0.3844000000000001,0.38123578783519113,0.378,0.3697942300684725,0.3771284437784438,0.3485912512343128
41,Federated,Resnet18,0.08407542227506637,0.3837,0.38657906804678227,0.3837,0.3798844762994625,0.3812,0.38704405471072145,0.3839049703383037,0.3575963218551438
42,Federated,Resnet18,0.08445284988880157,0.3824,0.38535475739913283,0.3824,0.37864696824033195,0.3736,0.3673049862595318,0.3710366054820601,0.3451986202361988
