round,Centralized,model,c_loss,c_accuracy,c_recall,c_precision,c_f1_score,d_accuracy,d_recall,d_precision,d_f1_score
1,Federated,VGG11,0.14390774965286254,0.0099,0.00010091743119266055,0.009899999999999999,0.00019979818365287592,0.010000000000000002,0.00010236799213992332,0.010081220366934655,0.00020258494574296954
2,Federated,VGG11,0.1433240788936615,0.0099,0.00010033444816053512,0.009899999999999999,0.000198655563359085,0.010400000000000001,0.00010663152413192703,0.010101422387136674,0.0002106982515194946
3,Federated,VGG11,0.1423753863811493,0.0154,0.0015454097757903872,0.0154,0.0021876378953893626,0.015999999999999997,0.002385837359637563,0.017550096200096198,0.002978458966754676
4,Federated,VGG11,0.13983510389328002,0.0296,0.0038948190409911964,0.0296,0.005131235531601164,0.028000000000000004,0.0025000366033568044,0.02773896889203012,0.0042099927143263004
5,Federated,VGG11,0.13429920253753663,0.042,0.02595062762937423,0.042,0.011344003029480123,0.0444,0.008236711429540914,0.04781184226456335,0.010155703796075033
6,Federated,VGG11,0.13063884377479554,0.052,0.015008584892388743,0.052000000000000005,0.01680850762901221,0.05279999999999999,0.018351520753275816,0.056834614038015395,0.016935389999359597
7,Federated,VGG11,0.1275377753973007,0.0676,0.04428198256300621,0.06760000000000001,0.027165912532709825,0.0612,0.020560594814532714,0.06684955908289242,0.02322742856316411
8,Federated,VGG11,0.12522780895233154,0.0794,0.03332428336221691,0.0794,0.03500242037388134,0.0748,0.02820745325685267,0.08299437547838909,0.03232681782879636
9,Federated,VGG11,0.12286858162879943,0.0904,0.04852760351370331,0.09040000000000001,0.04710132149245544,0.088,0.04347268602997931,0.09241682863621639,0.04464224158492479
10,Federated,VGG11,0.12105086851119995,0.1004,0.05036602146637897,0.10039999999999999,0.05502888369507383,0.10800000000000001,0.05379710101713436,0.10941663427275672,0.05778315686179614
11,Federated,VGG11,0.11972584807872773,0.1071,0.05888040221080205,0.10709999999999999,0.058601034450711936,0.10840000000000001,0.05235317045800766,0.1045049062049062,0.056616586176275484
12,Federated,VGG11,0.11802296805381775,0.1166,0.07319412742722677,0.11660000000000002,0.07068941705642227,0.11399999999999999,0.06332722996087532,0.11764520536153189,0.06730669015532594
13,Federated,VGG11,0.11663133292198181,0.1226,0.07449114887542113,0.1226,0.07730272878451103,0.1172,0.05935879972338302,0.1139369095756851,0.06688324587353077
14,Federated,VGG11,0.11521872160434724,0.1297,0.07272736326753866,0.1297,0.07949172909037303,0.1224,0.06380653015558732,0.11885050505050505,0.07032018865888476
15,Federated,VGG11,0.11351658844947815,0.1371,0.10315564489455814,0.13710000000000003,0.09138007455552896,0.12840000000000001,0.07703420045241763,0.12938975434995842,0.0804780940102211
16,Federated,VGG11,0.11242141718864442,0.1424,0.10227573947717461,0.1424,0.09534176671716614,0.1464,0.09377074660325303,0.1418748394714381,0.0904866449147675
17,Federated,VGG11,0.11110583395957947,0.1501,0.12542673279355396,0.1501,0.10726139571889172,0.14880000000000002,0.09036087215178891,0.14747417829084494,0.09486537343667148
18,Federated,VGG11,0.11009702286720276,0.1545,0.1238674201787068,0.1545,0.1086259163531999,0.1544,0.11251032006684433,0.1520379817713151,0.10309536389304456
19,Federated,VGG11,0.108148521900177,0.171,0.13479705518914442,0.17100000000000004,0.12482677815715051,0.16519999999999999,0.1184636657009547,0.15935690914024248,0.11169890018845978
20,Federated,VGG11,0.10671043035984039,0.1799,0.15413508588389954,0.17989999999999998,0.13718375248299747,0.19039999999999999,0.14097969122624024,0.18322647105980439,0.13550460242237855
21,Federated,VGG11,0.10523064873218536,0.1851,0.15546740649918245,0.18510000000000001,0.14477584637500385,0.1868,0.14812822578283463,0.18258808968808968,0.1344438350621276
22,Federated,VGG11,0.10366277573108673,0.1977,0.17951796535056208,0.1977,0.15887707682651067,0.196,0.1739174778617483,0.19731117771117773,0.1510385380608284
23,Federated,VGG11,0.1023617833852768,0.2038,0.18364606239320339,0.20379999999999998,0.16413435674254262,0.21319999999999997,0.16386792216558846,0.21529294532627863,0.1620568005340361
