round,Centralized,model,c_loss,c_accuracy,c_recall,c_precision,c_f1_score,d_accuracy,d_recall,d_precision,d_f1_score
1,Federated,VGG16,0.07093472003936768,0.1367,0.2281861768614514,0.1367,0.06581714556590575,0.1332,0.06908071349497695,0.14059714780639182,0.06796652194863852
2,Federated,VGG16,0.06390352892875671,0.2487,0.24817528257290827,0.2487,0.193525654988764,0.2404,0.23493261812562594,0.2427178491207754,0.1846066114227
3,Federated,VGG16,0.05791997873783111,0.3115,0.23076181401307502,0.3115,0.2521197251630347,0.304,0.22546949324898707,0.3032698522730143,0.24469566898456274
4,Federated,VGG16,0.053985078859329225,0.3455,0.3502358785564501,0.3455,0.29002362995706776,0.3344,0.2713854741663349,0.3348381432899591,0.2795131460400164
5,Federated,VGG16,0.05093334228992462,0.3835,0.34302787929402445,0.38349999999999995,0.34243302181724816,0.35200000000000004,0.34443299822585344,0.3590898416626479,0.31568241689045257
6,Federated,VGG16,0.04866629234552383,0.4062,0.3954539200483186,0.40619999999999995,0.3733553743237459,0.38760000000000006,0.37666869983463525,0.392781946469064,0.35927151140214847
7,Federated,VGG16,0.04670513535141945,0.4313,0.41787482544980115,0.43129999999999996,0.4017850522118923,0.4168,0.4076405950120366,0.4208951771060079,0.39130403059018454
8,Federated,VGG16,0.045177469170093534,0.442,0.42939925571787707,0.442,0.410488334788589,0.43520000000000003,0.4298866867424807,0.43543366228854036,0.40725469679292103
9,Federated,VGG16,0.04347929254770279,0.4717,0.4616665925323729,0.47169999999999995,0.4500698009637678,0.45359999999999995,0.4492314057406766,0.45581741235699347,0.4348134093390012
10,Federated,VGG16,0.042128819447755816,0.4963,0.5008940446739749,0.4963,0.48762117837702795,0.496,0.5028226310654067,0.49706621555810876,0.4871775533685311
11,Federated,VGG16,0.04106678748726845,0.5123,0.5022475425890193,0.5123,0.4931583693086166,0.5,0.4903734413125462,0.500778571426473,0.480814693741765
12,Federated,VGG16,0.03951131098270416,0.537,0.5271914079683238,0.537,0.5247810421416219,0.51,0.5032508322067171,0.5147441777536522,0.5008773435351215
13,Federated,VGG16,0.038170197397470476,0.5518,0.5381421344779508,0.5518,0.5380098553783802,0.5416000000000001,0.5285394397944836,0.5413539197238973,0.5287028282176103
14,Federated,VGG16,0.03757141087055206,0.5625,0.5594117494905705,0.5625,0.5523362140284579,0.5476000000000001,0.5474847037680421,0.5523558036697178,0.5415813472238612
15,Federated,VGG16,0.036401800537109376,0.5763,0.5822699284308918,0.5763,0.5763047064544272,0.5604,0.5708158398697454,0.5620606552757127,0.5626055764438288
16,Federated,VGG16,0.035125753462314606,0.5943,0.5887436645716575,0.5942999999999999,0.5848121043639118,0.5751999999999999,0.5787643434343634,0.5854467130628882,0.5712127570351855
17,Federated,VGG16,0.03402043296098709,0.6065,0.6054378616073205,0.6065,0.6034324600568644,0.5963999999999999,0.5977064946603513,0.5974501306216029,0.5942481966742511
18,Federated,VGG16,0.033167530435323715,0.6198,0.6136636104087236,0.6197999999999999,0.6141886834056719,0.5995999999999999,0.597953092181925,0.6037192988215823,0.5962028537208477
19,Federated,VGG16,0.032157544046640396,0.6313,0.6254824198891745,0.6313,0.6247400378899568,0.6352,0.6320643692481582,0.6371856661584356,0.6282189044289791
20,Federated,VGG16,0.03181269269585609,0.6389,0.6366186939905225,0.6389,0.6347277310898756,0.6256,0.6250475255106646,0.6270873908854623,0.6205894772557826
21,Federated,VGG16,0.031084505188465117,0.6455,0.6490618587162699,0.6455,0.6449406018325392,0.6408,0.6491007512030936,0.6446471512469877,0.6419911835486471
22,Federated,VGG16,0.030094325232505797,0.6593,0.6582541927335676,0.6593,0.6556777388774678,0.6384000000000001,0.643121900945546,0.6467317588420383,0.6398260126351145
23,Federated,VGG16,0.029686853069067,0.6658,0.6635828350673506,0.6658,0.6605793609837937,0.6456000000000001,0.6446331885219612,0.6469777965657524,0.6415852132653636
24,Federated,VGG16,0.02889198326766491,0.677,0.6713412431802326,0.6769999999999999,0.6725154335373722,0.6756,0.6701428393869084,0.6765312963895059,0.6709938067194303
25,Federated,VGG16,0.028290714854002,0.6811,0.6818834989243225,0.6811,0.6802209010253083,0.6716,0.6756022055535638,0.6747980827220579,0.6718189217123688
26,Federated,VGG16,0.02782704902291298,0.6894,0.683899755767303,0.6894000000000001,0.6836926828676069,0.6856,0.685708796032004,0.6904773565614761,0.6845487217066056
27,Federated,VGG16,0.027473669013381004,0.6946,0.6982925564267941,0.6946000000000001,0.694366084441506,0.7024,0.7084923936786401,0.7045298189088449,0.7033314099007415
28,Federated,VGG16,0.02680746239423752,0.6978,0.6939974135126452,0.6978000000000001,0.691965360922107,0.7012,0.7027284321768106,0.7026079143802659,0.6970068058023466
29,Federated,VGG16,0.025894617506861686,0.7097,0.705460829272248,0.7097,0.7060892839366325,0.704,0.7046935413614311,0.7058778914286808,0.7033898434540109
30,Federated,VGG16,0.02585195518732071,0.7164,0.7139981384487992,0.7164,0.7136498218311671,0.7116,0.7112297960142718,0.7161281294967907,0.7100761491065707
31,Federated,VGG16,0.025792899259924888,0.719,0.7143337986885496,0.719,0.7138666728658183,0.6988000000000001,0.6997693836476936,0.7043859869748594,0.6980610894038148
32,Federated,VGG16,0.025594284304976463,0.7203,0.7202849127714565,0.7202999999999999,0.7177955202058904,0.716,0.719999665737361,0.7179264143238077,0.7160234977035238
33,Federated,VGG16,0.0250189489454031,0.7286,0.7270006486105589,0.7285999999999999,0.7252198116753028,0.7183999999999999,0.7243008141225048,0.7255109536230513,0.719177687132585
34,Federated,VGG16,0.02451429053246975,0.7347,0.7327180964319416,0.7346999999999999,0.732782570167269,0.7287999999999999,0.7289073974543852,0.7293726989243098,0.7264182899430415
35,Federated,VGG16,0.024026096975803376,0.7409,0.7369739196674531,0.7409,0.7376342869858269,0.7232,0.7236222578912356,0.7275687254103644,0.7221314300334457
36,Federated,VGG16,0.02397205992639065,0.7414,0.7402613514769094,0.7414,0.7396133645086214,0.7415999999999999,0.7441910952117564,0.7421961049585116,0.7404257941681939
37,Federated,VGG16,0.02355425558835268,0.7474,0.7461387050166068,0.7474,0.7460723204155416,0.7420000000000001,0.7442125169630949,0.7458086030334865,0.7430562603882539
38,Federated,VGG16,0.023587307384610175,0.7478,0.7454687632397851,0.7478,0.7450478884708742,0.7535999999999999,0.7506234072588482,0.7535282012611144,0.7485506997067108
39,Federated,VGG16,0.023474237725138663,0.7503,0.749538948401862,0.7503,0.7488420076462898,0.74,0.741996829765914,0.7403210592533908,0.7387562189941115
40,Federated,VGG16,0.02342974349707365,0.7525,0.7498262591733516,0.7524999999999998,0.7504460890582235,0.7508000000000001,0.7502510012362149,0.7513213585052994,0.7487194134329104
41,Federated,VGG16,0.023107912915945054,0.7564,0.755611848638426,0.7564,0.7552228858696318,0.7552,0.7552122680973482,0.7546416934170173,0.7526459578657949
42,Federated,VGG16,0.023256715621054174,0.7584,0.7572234516487234,0.7584,0.7569043279415668,0.7656,0.7640239636123181,0.7647180384777761,0.7624804790051153
43,Federated,VGG16,0.022948761102557183,0.7624,0.7607606900999446,0.7624000000000001,0.7610307646465067,0.7696,0.7719967415190906,0.7766633770026944,0.7717101058301554
44,Federated,VGG16,0.02281461590230465,0.7612,0.7606171983267032,0.7612,0.7604693035643595,0.764,0.7679502729632144,0.765930213940881,0.7645423405702788
45,Federated,VGG16,0.022680914132297038,0.7614,0.761340264437308,0.7614,0.7604335905699342,0.7548,0.75929938192913,0.7577785019107126,0.7564346070084776
46,Federated,VGG16,0.023099414280056952,0.7666,0.7648522750579573,0.7666,0.7648140744381606,0.7576,0.7590464056016895,0.7599778751230625,0.7575355363640807
47,Federated,VGG16,0.02304378582239151,0.7645,0.7624111612639649,0.7645000000000001,0.761966963813807,0.7532,0.7532988506899096,0.7529955809186343,0.7507903392389703
48,Federated,VGG16,0.023050381772220133,0.7692,0.7669133063018828,0.7692,0.7671788306914571,0.758,0.7586595082115091,0.7618509797722106,0.7576085477173347
