round,Centralized,model,c_loss,c_accuracy,c_recall,c_precision,c_f1_score,d_accuracy,d_recall,d_precision,d_f1_score
1,Federated,VGG19,0.14411706471443175,0.01,0.00010003000900270081,0.01,0.00019807863721897593,0.0128,0.0001292095533057457,0.010081220366934655,0.0002548213304906668
2,Federated,VGG19,0.14407998399734498,0.0105,0.0027366760530766338,0.0105,0.0006433083493774458,0.013599999999999998,0.0002597728907165684,0.012665800865800866,0.0005074289845491359
3,Federated,VGG19,0.14397560896873474,0.01,0.0001,0.01,0.00019801980198019803,0.007600000000000001,7.640733869305299e-05,0.010061018346732632,0.00015146218261318108
4,Federated,VGG19,0.1423122416496277,0.01,0.00010427528675703858,0.01,0.0002063983488132095,0.0108,0.00011488946031920581,0.010122036693465265,0.0002270380931048796
5,Federated,VGG19,0.14088824634552002,0.0162,0.0005352413036517323,0.016200000000000003,0.0009734845279096265,0.016,0.0013965954240522907,0.016400529100529103,0.0016900831808324232
6,Federated,VGG19,0.14034416155815124,0.0225,0.002493551927494562,0.0225,0.004173836217335656,0.0232,0.0032537345231941836,0.02166404815894612,0.004942179704571238
7,Federated,VGG19,0.13995369963645934,0.0202,0.002330268968291311,0.0202,0.0017682461525881643,0.022000000000000002,0.0018524479482064312,0.02161183261183261,0.002515479336082956
8,Federated,VGG19,0.1396514856338501,0.0211,0.0014436786149822612,0.021099999999999997,0.0020516664287346838,0.0188,0.0006312362426438518,0.02112611832611833,0.001200144353517942
9,Federated,VGG19,0.13945318727493286,0.021,0.002000042770956381,0.020999999999999998,0.0019937483687126087,0.022,0.0008259802313808458,0.0216976911976912,0.0015636554823798467
10,Federated,VGG19,0.13907352023124694,0.0214,0.0012910229660547392,0.021399999999999995,0.0018235744707201234,0.0212,0.0010267406916334015,0.02081358188296964,0.0016957327457378115
11,Federated,VGG19,0.1390549533843994,0.0225,0.0018872533550102267,0.0225,0.0025825951115093916,0.0212,0.0009693871324280226,0.0229824778396207,0.0017949642285163658
12,Federated,VGG19,0.1392154905796051,0.0233,0.002725443449619691,0.0233,0.0031933714855848084,0.024,0.0019205698473992298,0.021720116618075803,0.0026346747801067817
13,Federated,VGG19,0.13880796399116516,0.026,0.0057266891927719565,0.026000000000000002,0.007014394050645617,0.027999999999999997,0.005628638471312187,0.029891138302362796,0.007643140441469684
