round,Centralized,model,c_loss,c_accuracy,c_recall,c_precision,c_f1_score
1,Centralized,Resnet50,0.1270332388162613,0.1123,0.1744089911953041,0.11230000000000001,0.0903610333397306
2,Centralized,Resnet50,0.12251975357532502,0.1679,0.24598786461439354,0.1679,0.14667541015761937
3,Centralized,Resnet50,0.11697311334609985,0.1765,0.2874223021429444,0.1765,0.16136180580316914
4,Centralized,Resnet50,0.12376534039974213,0.2166,0.31405619205382623,0.21660000000000004,0.20900740938305912
5,Centralized,Resnet50,0.11369443106651306,0.229,0.3214074644488115,0.22899999999999998,0.2287420981093363
6,Centralized,Resnet50,0.10225731536149979,0.2813,0.3410596108256951,0.28130000000000005,0.2741047439380202
7,Centralized,Resnet50,0.13367189671993254,0.2776,0.3331944569958726,0.2776,0.2682775046363113
8,Centralized,Resnet50,0.1274136233329773,0.2975,0.3582283979559332,0.2975,0.2945966114626343
9,Centralized,Resnet50,0.11121713680028915,0.2918,0.3400300498799191,0.29179999999999995,0.2854907353058253
10,Centralized,Resnet50,0.12088154957294464,0.2623,0.3532528780640486,0.2623,0.26091288224883974
11,Centralized,Resnet50,0.13814500093460083,0.3017,0.35869455620547347,0.3017,0.3035189638847344
12,Centralized,Resnet50,0.12519900500774384,0.2964,0.3597502132794482,0.29640000000000005,0.2959179644132229
13,Centralized,Resnet50,0.1261044780254364,0.2985,0.3678988284276478,0.2985,0.30229696000962997
14,Centralized,Resnet50,0.15773441021442414,0.2899,0.34983741851811834,0.2899,0.29184343179389294
15,Centralized,Resnet50,0.3560696493148804,0.2414,0.3135103303053672,0.2414,0.2463349843041099
16,Centralized,Resnet50,0.13345798797607422,0.2912,0.33315078763343925,0.2912,0.2885638694182584
17,Centralized,Resnet50,0.1660566165447235,0.2869,0.3604395225731132,0.28690000000000004,0.2935839795384094
18,Centralized,Resnet50,0.13835089200735093,0.3128,0.3564622992733411,0.31279999999999997,0.31749363963276506
19,Centralized,Resnet50,0.1635977592229843,0.3138,0.35858365400125014,0.3138,0.3162906978909596
20,Centralized,Resnet50,0.17412154030799865,0.3101,0.35406938663119975,0.3101,0.31336226534698075
21,Centralized,Resnet50,0.19677950870990754,0.3176,0.3576074452638357,0.31759999999999994,0.3197489101755993
22,Centralized,Resnet50,0.16471389980316162,0.323,0.3640093181489546,0.32300000000000006,0.3257544960021472
23,Centralized,Resnet50,0.1768719753742218,0.3118,0.3568476547298167,0.3118,0.31275725943364735
24,Centralized,Resnet50,0.14721833889484406,0.3268,0.3572707034511025,0.3268000000000001,0.3265926874296883
25,Centralized,Resnet50,0.20096543473005296,0.332,0.35178293754961293,0.33199999999999996,0.3320865205304168
26,Centralized,Resnet50,0.19279082024097444,0.322,0.36324233877391776,0.32199999999999995,0.3263460377570586
27,Centralized,Resnet50,0.15785891261100768,0.3459,0.3619531094415389,0.34590000000000004,0.34567777089736035
28,Centralized,Resnet50,0.17861382422447206,0.3256,0.37281944682352053,0.32559999999999995,0.3316166110677273
29,Centralized,Resnet50,0.19529306411743164,0.3341,0.3669021296286762,0.33410000000000006,0.3351643400968631
30,Centralized,Resnet50,0.2011217574119568,0.3315,0.3517815054499584,0.3314999999999999,0.3291888908966122
31,Centralized,Resnet50,0.19374199743270873,0.3172,0.3514293122179579,0.3171999999999999,0.3146212510646287
32,Centralized,Resnet50,0.1826300500869751,0.3293,0.3516836228259024,0.3293,0.33047706071431243
33,Centralized,Resnet50,0.17143673176765442,0.3331,0.36710277459438795,0.3331,0.33591613613858506
34,Centralized,Resnet50,0.1857959942817688,0.3255,0.36647715830690913,0.3255000000000001,0.32858620317407317
35,Centralized,Resnet50,0.1708670201063156,0.3433,0.3531011775021446,0.3433,0.33949246939906325
36,Centralized,Resnet50,0.1700100445508957,0.3458,0.36202708671743716,0.3458,0.3460709067860514
37,Centralized,Resnet50,0.19130613012313843,0.3288,0.3700611625806389,0.3288,0.3340109175406707
38,Centralized,Resnet50,0.18682149844169615,0.3435,0.3599533925010171,0.3434999999999999,0.34372828331482863
39,Centralized,Resnet50,0.17684273507595064,0.3506,0.36298292479123256,0.3506,0.3468234033296806
40,Centralized,Resnet50,0.17695671393871307,0.3481,0.36881367751953603,0.3481000000000001,0.3464206774692572
41,Centralized,Resnet50,0.21913126032352448,0.3392,0.36524414002834227,0.3392,0.3404657359928944
42,Centralized,Resnet50,0.21000196821689607,0.3429,0.361245683923691,0.3428999999999999,0.3425029271525014
43,Centralized,Resnet50,0.1829838796377182,0.3445,0.3687288946347042,0.3445,0.3451500461483373
44,Centralized,Resnet50,0.1740775360584259,0.3519,0.364725967476057,0.3519,0.34817211659429737
45,Centralized,Resnet50,0.1829253912448883,0.3424,0.359934970478233,0.34240000000000004,0.34327373517968474
46,Centralized,Resnet50,0.19458642275333404,0.3422,0.35087458777368413,0.3421999999999999,0.3393323084697868
47,Centralized,Resnet50,0.26894399814605713,0.3407,0.36809255343234243,0.3407,0.34378892750573425
48,Centralized,Resnet50,0.2021795584201813,0.3511,0.36715670817080953,0.35109999999999997,0.350197592345753
49,Centralized,Resnet50,0.20645540947914123,0.3311,0.3620871962031217,0.33110000000000006,0.3336644127338228
50,Centralized,Resnet50,0.19293270187377928,0.3267,0.3708195089104268,0.3267,0.3307944992680843
51,Centralized,Resnet50,0.19978429882526397,0.3203,0.3571015022819752,0.32030000000000003,0.32226363042002026
52,Centralized,Resnet50,0.18921122663021087,0.338,0.35852377489057696,0.338,0.33720790704254183
53,Centralized,Resnet50,0.19029649732112885,0.3453,0.3573070505610582,0.34529999999999994,0.34543093839738526
54,Centralized,Resnet50,0.18212669548988342,0.3555,0.3667561640149536,0.3554999999999999,0.3551528611551475
55,Centralized,Resnet50,0.19452182991504668,0.3422,0.36371395143652874,0.3421999999999999,0.34471015654723325
56,Centralized,Resnet50,0.212126895403862,0.3496,0.3607481164149993,0.3496,0.34796650360181786
57,Centralized,Resnet50,0.18119009087085725,0.3558,0.3704273893191333,0.35580000000000006,0.3559314924161809
58,Centralized,Resnet50,0.21254901201725007,0.3295,0.3664354794087235,0.32949999999999996,0.33543011033567743
59,Centralized,Resnet50,0.20930501565933227,0.3461,0.3613393459928396,0.3461,0.347291932223405
60,Centralized,Resnet50,0.2123798155784607,0.3382,0.36241239159633953,0.3382,0.34074318491681355
61,Centralized,Resnet50,0.18836557528972625,0.338,0.35968966111393685,0.33800000000000013,0.33521655931555133
62,Centralized,Resnet50,0.224381742143631,0.3531,0.36524576139137827,0.35309999999999997,0.35207560818732875
63,Centralized,Resnet50,0.20362789154052735,0.3486,0.36560991927732334,0.3485999999999999,0.3508004765407896
64,Centralized,Resnet50,0.21650839459896087,0.3437,0.36437412723869345,0.34370000000000006,0.342579527319865
65,Centralized,Resnet50,0.22157566735744477,0.3527,0.36256745434684445,0.3527,0.3510464215560804
66,Centralized,Resnet50,0.18826259732246398,0.349,0.359394684843312,0.349,0.3473224924619796
67,Centralized,Resnet50,0.22728323843479156,0.354,0.36930293966066763,0.354,0.35539567669662075
68,Centralized,Resnet50,0.18996731095314026,0.3547,0.3614861351843854,0.3547,0.35118672385764826
69,Centralized,Resnet50,0.18780776844024658,0.3573,0.3612403513910514,0.3573000000000001,0.3520340780865174
70,Centralized,Resnet50,0.18646679022312165,0.3577,0.36461436729323216,0.35770000000000013,0.35483756981024944
71,Centralized,Resnet50,0.20409777586460112,0.3553,0.36253700207729556,0.3553,0.3521627748193643
72,Centralized,Resnet50,0.21010076043605805,0.3531,0.36405939606773247,0.3531,0.3498687826613377
73,Centralized,Resnet50,0.2503569939851761,0.3352,0.36145966201858143,0.33519999999999994,0.3388657010626793
74,Centralized,Resnet50,0.21256282246112823,0.3452,0.3578921096270215,0.34519999999999995,0.3451195086704926
75,Centralized,Resnet50,0.20246188359260558,0.3514,0.36359187922169994,0.3514,0.3507250776301239
76,Centralized,Resnet50,0.20662284219264984,0.355,0.3624467155606995,0.3549999999999999,0.35280034514915093
77,Centralized,Resnet50,0.2107905034303665,0.3545,0.36062007870300045,0.35450000000000004,0.34952554904059696
