round,Centralized,model,c_loss,c_accuracy,c_recall,c_precision,c_f1_score
1,Centralized,VGG13,0.13025326704978943,0.0546,0.029343071960398537,0.0546,0.025316872031432087
2,Centralized,VGG13,0.11772845351696014,0.1058,0.09438310942064128,0.1058,0.07019038671474256
3,Centralized,VGG13,0.10789739959239959,0.1632,0.169689435991428,0.16319999999999996,0.13435463443601425
4,Centralized,VGG13,0.10930630707740784,0.1657,0.21079214708650823,0.16570000000000004,0.14490400074424492
5,Centralized,VGG13,0.09445008749961853,0.2441,0.2902221910712002,0.24410000000000004,0.22763656310603483
6,Centralized,VGG13,0.08741694576740265,0.301,0.35011112229525376,0.301,0.28945840155508523
7,Centralized,VGG13,0.07747803549766541,0.3525,0.3856079662410183,0.3524999999999999,0.3371797557167488
8,Centralized,VGG13,0.07821749510765076,0.3641,0.4246751650859204,0.3641,0.35567980969463536
9,Centralized,VGG13,0.0761783060669899,0.3749,0.43513606187623255,0.37489999999999996,0.3741008761758474
10,Centralized,VGG13,0.08270595215559005,0.3534,0.41484869197158,0.35339999999999994,0.3383005042211254
11,Centralized,VGG13,0.07367974973917008,0.4194,0.43350448898238747,0.4194,0.40937932387668674
12,Centralized,VGG13,0.07382628426551818,0.4269,0.45842950372324415,0.4269,0.42647628315108776
13,Centralized,VGG13,0.0880331654548645,0.3894,0.44044923813283643,0.3894,0.3834666374838856
14,Centralized,VGG13,0.093828364777565,0.3893,0.45315655053755044,0.3893,0.38548180642846264
15,Centralized,VGG13,0.08689567383527756,0.4175,0.4564519516276409,0.4175,0.4152823144032562
16,Centralized,VGG13,0.09222156109809876,0.4136,0.4436035578257868,0.4136000000000001,0.41255349737462965
17,Centralized,VGG13,0.09179606795310974,0.4058,0.4477771852897529,0.40580000000000005,0.4136311313443277
18,Centralized,VGG13,0.09754080760478974,0.4242,0.4375996144028758,0.4242,0.4186310174270585
19,Centralized,VGG13,0.09545554840564728,0.4222,0.45164702831184045,0.42219999999999996,0.42613674516743066
20,Centralized,VGG13,0.10307967236042023,0.4133,0.44888950389373294,0.41330000000000006,0.41523396007893204
21,Centralized,VGG13,0.10399900667667389,0.4332,0.45458880810290564,0.43320000000000003,0.43394887032158563
22,Centralized,VGG13,0.10690171979665757,0.4127,0.44145024616370143,0.4127,0.41186509668425075
23,Centralized,VGG13,0.11688180332183838,0.424,0.44844082024850784,0.42400000000000004,0.4214691164930601
24,Centralized,VGG13,0.10831352719068527,0.4303,0.4474194649156331,0.4303,0.42592104508510276
25,Centralized,VGG13,0.1118569373846054,0.4222,0.4500882341201791,0.4221999999999999,0.4229609578515299
26,Centralized,VGG13,0.11624011660814285,0.4275,0.4499123805777044,0.42749999999999994,0.4280216780805189
27,Centralized,VGG13,0.1058851458311081,0.4284,0.43405486130227067,0.42840000000000006,0.42270218503371454
28,Centralized,VGG13,0.11108353061676025,0.435,0.45887548733147226,0.435,0.4363440951572748
29,Centralized,VGG13,0.11340374372005463,0.4304,0.4533482813574683,0.4303999999999999,0.4309650850190646
30,Centralized,VGG13,0.11795477125644684,0.4264,0.44934037240177105,0.4264,0.42362866460802434
31,Centralized,VGG13,0.12321666443347931,0.4306,0.45672662168312483,0.4305999999999999,0.4315642250232525
32,Centralized,VGG13,0.10973439824581147,0.4396,0.45063241245583063,0.43959999999999994,0.4379818322958043
33,Centralized,VGG13,0.11814969552755356,0.4304,0.44876751108409196,0.4303999999999999,0.4263923058073887
34,Centralized,VGG13,0.11452066428661346,0.4397,0.45102351538341023,0.4397,0.43917694632694615
35,Centralized,VGG13,0.11575099972486495,0.4366,0.4558239935423407,0.43660000000000004,0.43643606222037623
36,Centralized,VGG13,0.1302670768737793,0.4119,0.44987240952209034,0.4119,0.41648113304110224
37,Centralized,VGG13,0.11913385775089264,0.4358,0.4475078681333498,0.4358000000000001,0.4323863028991358
38,Centralized,VGG13,0.12467291711568833,0.4366,0.4463954837902952,0.4366,0.4343717235546374
39,Centralized,VGG13,0.11331633784770966,0.4151,0.4365662136107153,0.4151,0.41365516868757013
40,Centralized,VGG13,0.1173828125,0.433,0.4493658397691149,0.43300000000000005,0.4330309491911718
41,Centralized,VGG13,0.12164333419799804,0.4308,0.4489119254995058,0.43080000000000007,0.4323272354343951
42,Centralized,VGG13,0.11966249002218246,0.4387,0.45813629981680193,0.4387,0.44114389652005015
43,Centralized,VGG13,0.12204406976699829,0.4188,0.4439465557420039,0.4188,0.4190202899992137
44,Centralized,VGG13,0.11519848572015762,0.4423,0.45144438152804517,0.44229999999999997,0.4402532185282769
45,Centralized,VGG13,0.11319834178686142,0.4329,0.45321519764536444,0.4328999999999999,0.4367732477721531
46,Centralized,VGG13,0.11171645411252976,0.4249,0.43689191156011803,0.4249000000000001,0.4214612002526005
47,Centralized,VGG13,0.12980940113067627,0.4155,0.44056769381915295,0.41550000000000004,0.41107604607624565
48,Centralized,VGG13,0.11743207337856293,0.4488,0.4546530369368506,0.44880000000000003,0.446135828718278
49,Centralized,VGG13,0.12323647676706315,0.433,0.45274633602489495,0.433,0.4357071000596686
50,Centralized,VGG13,0.12823014574050903,0.4347,0.449248837324315,0.4347,0.4338485801128188
51,Centralized,VGG13,0.12086258043050765,0.4342,0.45277254167471503,0.4341999999999999,0.43511835261617215
52,Centralized,VGG13,0.11814615445137024,0.4356,0.45160717535598627,0.4356000000000001,0.4356910589771561
53,Centralized,VGG13,0.12372183334827423,0.4373,0.4474902238636801,0.4373,0.434583606054635
54,Centralized,VGG13,0.11070586352348327,0.4462,0.4547869618742028,0.44619999999999993,0.4439186216356727
55,Centralized,VGG13,0.11612231302261353,0.4473,0.456365501932412,0.4473000000000001,0.44670560852502283
56,Centralized,VGG13,0.11820252287387847,0.4348,0.44843013412951416,0.4348,0.43450744768094923
57,Centralized,VGG13,0.13243630195856093,0.4352,0.4587681799615136,0.4352,0.4372619073630865
58,Centralized,VGG13,0.11787890864610671,0.4334,0.45165559760759544,0.4334,0.4329496523811479
59,Centralized,VGG13,0.11585966916084289,0.4483,0.44824230582472374,0.4483,0.44181123832165947
60,Centralized,VGG13,0.11948062771558762,0.4431,0.45383789416049575,0.4431000000000001,0.44125729125888236
61,Centralized,VGG13,0.1181210211277008,0.4399,0.4560897575566187,0.43990000000000007,0.43916163469082553
62,Centralized,VGG13,0.11509689544439315,0.4292,0.44674523029867813,0.4292000000000001,0.428173904496147
63,Centralized,VGG13,0.12031503249406815,0.4316,0.4535804322500687,0.4316,0.43085591653498356
64,Centralized,VGG13,0.12650209013223648,0.44,0.44988313924212625,0.44000000000000006,0.436235605000256
65,Centralized,VGG13,0.12348803350925446,0.4339,0.45865554710612577,0.4339,0.4348862617059428
66,Centralized,VGG13,0.1129467335820198,0.4412,0.4504532002413566,0.44120000000000004,0.4383665100638688
67,Centralized,VGG13,0.12106378012895584,0.4486,0.4601882303558129,0.44860000000000005,0.44691356207928806
68,Centralized,VGG13,0.12332870572805404,0.4421,0.4556469822717779,0.44209999999999994,0.4423767343089925
69,Centralized,VGG13,0.11827065052986145,0.4349,0.4539974041621155,0.4349,0.43689471015794906
70,Centralized,VGG13,0.11806469881534576,0.4241,0.4405118462843399,0.4241,0.42279261659289474
71,Centralized,VGG13,0.1146587703704834,0.4402,0.4613636907374804,0.44020000000000004,0.4417773442985323
72,Centralized,VGG13,0.12724684455394744,0.4375,0.4501604666312229,0.4375,0.4345697575038173
73,Centralized,VGG13,0.11908065866231918,0.4279,0.4462586363981788,0.42790000000000006,0.4255383970897209
74,Centralized,VGG13,0.12119799638986588,0.4327,0.44769821161167506,0.4327,0.4302023102172734
75,Centralized,VGG13,0.12132372685670853,0.4396,0.4686451782172306,0.4396,0.4434211990852013
76,Centralized,VGG13,0.11679156144857407,0.4373,0.44869193476138475,0.4373,0.4353857878237507
77,Centralized,VGG13,0.12235879012346268,0.4334,0.4581581247258151,0.4334,0.43501954998278713
78,Centralized,VGG13,0.11531786437034607,0.4446,0.4520930267787284,0.4446000000000001,0.44092319710415695
79,Centralized,VGG13,0.10988837265968322,0.435,0.44364600268300763,0.43499999999999994,0.4301279478530305
80,Centralized,VGG13,0.11585648075342178,0.433,0.4505482379537902,0.433,0.43424161559046726
81,Centralized,VGG13,0.11978663150072098,0.429,0.4490738966126821,0.42900000000000005,0.42852948606866215
82,Centralized,VGG13,0.12336114205121994,0.4374,0.44858599972477436,0.43739999999999996,0.43492239386938963
83,Centralized,VGG13,0.1193877745270729,0.4431,0.4518472172654743,0.44310000000000005,0.44225397572534647
84,Centralized,VGG13,0.11452083685398101,0.4339,0.4473604419978349,0.43389999999999995,0.4332607876201383
85,Centralized,VGG13,0.11966243076324463,0.4282,0.4433354542768931,0.4282,0.4249053941565469
86,Centralized,VGG13,0.11863638939857483,0.4368,0.44688006098403776,0.4367999999999999,0.43465472031033753
87,Centralized,VGG13,0.11070451737642288,0.4375,0.4488705330527509,0.4375,0.43673563180344355
88,Centralized,VGG13,0.1225560881137848,0.4378,0.45254348089998453,0.43779999999999997,0.4355102384209388
89,Centralized,VGG13,0.11623407256603241,0.4385,0.45203294856429166,0.4384999999999999,0.43941420599171094
90,Centralized,VGG13,0.12250763289928436,0.431,0.4537470856034868,0.43099999999999994,0.4310856528819437
91,Centralized,VGG13,0.12140020540952683,0.4195,0.4484900295260812,0.4195,0.4222506607620883
92,Centralized,VGG13,0.1377649740934372,0.4064,0.4313424951708155,0.4064,0.40282805944995437
93,Centralized,VGG13,0.1161895143032074,0.4247,0.4364052805851819,0.4247000000000001,0.4237181140294643
94,Centralized,VGG13,0.11660359910726548,0.4428,0.45114938708612984,0.4427999999999999,0.43894979547127927
95,Centralized,VGG13,0.1259535121679306,0.4315,0.45218111868743954,0.4315,0.4283478187791338
96,Centralized,VGG13,0.12529877288341523,0.4394,0.45266546993012946,0.43940000000000007,0.4388321991772163
97,Centralized,VGG13,0.12557366602420808,0.4337,0.4471043232275926,0.4337,0.43275118818263214
98,Centralized,VGG13,0.1240052726149559,0.4415,0.44735841225156087,0.44150000000000006,0.43889241512841265
99,Centralized,VGG13,0.1244020771741867,0.4372,0.45735523936021216,0.4372,0.43946578526064295
100,Centralized,VGG13,0.11699846397638321,0.4323,0.4480209293565736,0.4323,0.4317973263129528
