round,Centralized,model,c_loss,c_accuracy,c_recall,c_precision,c_f1_score
1,Centralized,Densenet121,0.0423167240858078,0.5047,0.5177738871239519,0.5046999999999999,0.5009498355141886
2,Centralized,Densenet121,0.03635771207213402,0.5765,0.5903987135853408,0.5765,0.5736030780734456
3,Centralized,Densenet121,0.03538052722811699,0.602,0.6237478458953132,0.602,0.6002251058358951
4,Centralized,Densenet121,0.03231431532502174,0.6405,0.6517197729885702,0.6405000000000001,0.6349814976214188
5,Centralized,Densenet121,0.030636916872859,0.6609,0.6737874583299466,0.6609,0.6589185257193907
6,Centralized,Densenet121,0.029101221442222595,0.6801,0.684112536270084,0.6801,0.6786965568439622
7,Centralized,Densenet121,0.030330925622582435,0.677,0.6891650059625585,0.677,0.6756721200491324
8,Centralized,Densenet121,0.031152982822060585,0.6849,0.7004143566429903,0.6848999999999998,0.6864726752436591
9,Centralized,Densenet121,0.029911380150914192,0.6975,0.7092961716391615,0.6975,0.6994970308931845
10,Centralized,Densenet121,0.029455016058683395,0.7092,0.7100958007431801,0.7092,0.7074894752810448
11,Centralized,Densenet121,0.03203505911529064,0.7046,0.7167524827344193,0.7046000000000001,0.7082423315955487
12,Centralized,Densenet121,0.032364374975860116,0.7047,0.7193974055231848,0.7047000000000001,0.7075664242097923
13,Centralized,Densenet121,0.034096650660037996,0.7076,0.7146277726381043,0.7076,0.7070333678335441
14,Centralized,Densenet121,0.034744970721006393,0.7122,0.7097808514052109,0.7121999999999999,0.7085057565228681
15,Centralized,Densenet121,0.03699900694787502,0.6975,0.7033698296179866,0.6975,0.6958446120921487
16,Centralized,Densenet121,0.035344962960481646,0.7258,0.7299783107445098,0.7258000000000001,0.7257421964691357
17,Centralized,Densenet121,0.037381654693186286,0.7147,0.7146801241896885,0.7146999999999999,0.7139822908302502
18,Centralized,Densenet121,0.03692078756690025,0.7287,0.7308885349214159,0.7287,0.728317946815732
19,Centralized,Densenet121,0.03863675583153963,0.7187,0.7156238380715588,0.7187,0.7161639774814559
20,Centralized,Densenet121,0.04075226409137249,0.7162,0.7178581437381722,0.7162,0.7153985582434752
21,Centralized,Densenet121,0.04030229811370373,0.7174,0.7220141427811958,0.7173999999999999,0.7169086814768244
22,Centralized,Densenet121,0.03926434157192707,0.7271,0.7320844532768829,0.7271,0.7281838991005858
23,Centralized,Densenet121,0.041013460558652876,0.7294,0.7283843812885636,0.7293999999999999,0.7281002138415211
24,Centralized,Densenet121,0.03959567202925682,0.734,0.7365158957561224,0.7339999999999999,0.7341444429691177
25,Centralized,Densenet121,0.04127664984762668,0.7292,0.7280047813624827,0.7292,0.7272942610998141
26,Centralized,Densenet121,0.041849544060230254,0.7336,0.7340078727409867,0.7336,0.7315922415484132
27,Centralized,Densenet121,0.04315933003723622,0.7253,0.7310957156572989,0.7253000000000001,0.7262823145765758
28,Centralized,Densenet121,0.04295546582937241,0.73,0.7353702919854352,0.73,0.7306080150948441
29,Centralized,Densenet121,0.04226387190818787,0.7326,0.7366232801170597,0.7326,0.7337685876014058
