round,Centralized,model,c_accuracy,d_accuracy
1,Federated,VGG11,0.247,0.2364
2,Federated,VGG11,0.2884,0.2872
3,Federated,VGG11,0.3681,0.3616
4,Federated,VGG11,0.4075,0.39399999999999996
5,Federated,VGG11,0.4424,0.4284
6,Federated,VGG11,0.4662,0.44160000000000005
7,Federated,VGG11,0.4963,0.4828
8,Federated,VGG11,0.514,0.49960000000000004
9,Federated,VGG11,0.5349,0.5224
10,Federated,VGG11,0.554,0.5364000000000001
11,Federated,VGG11,0.5698,0.5504
12,Federated,VGG11,0.5784,0.5695999999999999
13,Federated,VGG11,0.5922,0.5788
14,Federated,VGG11,0.6045,0.5735999999999999
15,Federated,VGG11,0.6127,0.6100000000000001
16,Federated,VGG11,0.6144,0.6112
17,Federated,VGG11,0.6419,0.6304
18,Federated,VGG11,0.6473,0.6364000000000001
19,Federated,VGG11,0.6577,0.6428
20,Federated,VGG11,0.6613,0.6604
21,Federated,VGG11,0.6749,0.6648000000000001
22,Federated,VGG11,0.6853,0.6784000000000001
23,Federated,VGG11,0.6927,0.6692
24,Federated,VGG11,0.6925,0.6808
25,Federated,VGG11,0.7002,0.6883999999999999
26,Federated,VGG11,0.7044,0.7104
27,Federated,VGG11,0.7108,0.6832
28,Federated,VGG11,0.7191,0.7016
29,Federated,VGG11,0.7218,0.7027999999999999
30,Federated,VGG11,0.7218,0.7272000000000001
31,Federated,VGG11,0.7265,0.708
32,Federated,VGG11,0.7307,0.7011999999999999
33,Federated,VGG11,0.7349,0.7180000000000001
34,Federated,VGG11,0.7369,0.724
35,Federated,VGG11,0.7398,0.7251999999999998
36,Federated,VGG11,0.743,0.7288
37,Federated,VGG11,0.7444,0.7252000000000001
38,Federated,VGG11,0.7454,0.7492
39,Federated,VGG11,0.7455,0.7416
40,Federated,VGG11,0.7451,0.7392
41,Federated,VGG11,0.7494,0.7456000000000002
42,Federated,VGG11,0.7529,0.7576
43,Federated,VGG11,0.7502,0.752
44,Federated,VGG11,0.7497,0.7375999999999999
45,Federated,VGG11,0.7488,0.7567999999999999
46,Federated,VGG11,0.7535,0.7588000000000001
47,Federated,VGG11,0.7487,0.7464
48,Federated,VGG11,0.7513,0.7608
49,Federated,VGG11,0.7497,0.7507999999999999
50,Federated,VGG11,0.756,0.748
51,Federated,VGG11,0.7527,0.7424
52,Federated,VGG11,0.7537,0.7468
53,Federated,VGG11,0.7541,0.7372
54,Federated,VGG11,0.7524,0.7628
55,Federated,VGG11,0.7524,0.7424000000000002
56,Federated,VGG11,0.7559,0.7548000000000001
57,Federated,VGG11,0.7514,0.742
58,Federated,VGG11,0.752,0.7552
59,Federated,VGG11,0.7533,0.7328
60,Federated,VGG11,0.7517,0.7356
61,Federated,VGG11,0.755,0.7732
62,Federated,VGG11,0.7549,0.7491999999999999
63,Federated,VGG11,0.7556,0.7512
64,Federated,VGG11,0.7538,0.7587999999999999
65,Federated,VGG11,0.7542,0.7615999999999999
66,Federated,VGG11,0.7533,0.7575999999999998
67,Federated,VGG11,0.7527,0.7516
68,Federated,VGG11,0.7524,0.748
69,Federated,VGG11,0.7544,0.7504
70,Federated,VGG11,0.7544,0.7460000000000001
71,Federated,VGG11,0.7549,0.75
72,Federated,VGG11,0.7543,0.7451999999999999
73,Federated,VGG11,0.7534,0.7688
74,Federated,VGG11,0.7538,0.7608
75,Federated,VGG11,0.7539,0.75
76,Federated,VGG11,0.7545,0.7604000000000001
77,Federated,VGG11,0.7543,0.7624000000000001
78,Federated,VGG11,0.7551,0.756
79,Federated,VGG11,0.7545,0.7455999999999999
80,Federated,VGG11,0.7545,0.7712
81,Federated,VGG11,0.7541,0.7488000000000001
82,Federated,VGG11,0.7545,0.7608
83,Federated,VGG11,0.7548,0.752
84,Federated,VGG11,0.7546,0.7524
85,Federated,VGG11,0.7539,0.7496
86,Federated,VGG11,0.754,0.7487999999999999
87,Federated,VGG11,0.7542,0.7468
88,Federated,VGG11,0.7544,0.7592000000000001
89,Federated,VGG11,0.753,0.7528
90,Federated,VGG11,0.7529,0.7436
91,Federated,VGG11,0.7534,0.7588000000000001
92,Federated,VGG11,0.7525,0.7576
93,Federated,VGG11,0.7532,0.7492
94,Federated,VGG11,0.7534,0.7616
95,Federated,VGG11,0.7533,0.7632
96,Federated,VGG11,0.7535,0.7596
97,Federated,VGG11,0.7532,0.7716000000000001
98,Federated,VGG11,0.7535,0.7604
99,Federated,VGG11,0.7542,0.7448
100,Federated,VGG11,0.7534,0.7516
