round,Centralized,model,c_accuracy,d_accuracy
1,Federated,VGG13,0.2311,0.22999999999999998
2,Federated,VGG13,0.2924,0.27440000000000003
3,Federated,VGG13,0.364,0.348
4,Federated,VGG13,0.401,0.392
5,Federated,VGG13,0.4357,0.41479999999999995
6,Federated,VGG13,0.4603,0.45439999999999997
7,Federated,VGG13,0.4825,0.4628
8,Federated,VGG13,0.5023,0.47919999999999996
9,Federated,VGG13,0.514,0.5048
10,Federated,VGG13,0.5335,0.5112
11,Federated,VGG13,0.558,0.55
12,Federated,VGG13,0.568,0.5648
13,Federated,VGG13,0.5788,0.5688
14,Federated,VGG13,0.5908,0.5744
15,Federated,VGG13,0.6028,0.5952
16,Federated,VGG13,0.6247,0.6192
17,Federated,VGG13,0.6328,0.6388
18,Federated,VGG13,0.6493,0.6264000000000001
19,Federated,VGG13,0.6568,0.65
20,Federated,VGG13,0.6652,0.6612
21,Federated,VGG13,0.6818,0.6604
22,Federated,VGG13,0.6853,0.6716
23,Federated,VGG13,0.6921,0.6819999999999999
24,Federated,VGG13,0.7001,0.7140000000000001
25,Federated,VGG13,0.7125,0.704
26,Federated,VGG13,0.7193,0.7188000000000001
27,Federated,VGG13,0.7206,0.7212
28,Federated,VGG13,0.7286,0.7243999999999999
29,Federated,VGG13,0.734,0.7508
30,Federated,VGG13,0.7401,0.7156
31,Federated,VGG13,0.7407,0.7272
32,Federated,VGG13,0.7437,0.75
33,Federated,VGG13,0.7493,0.7424
34,Federated,VGG13,0.75,0.7496
35,Federated,VGG13,0.7531,0.764
36,Federated,VGG13,0.7542,0.76
37,Federated,VGG13,0.7587,0.7576
38,Federated,VGG13,0.7635,0.7588000000000001
39,Federated,VGG13,0.7691,0.7664
40,Federated,VGG13,0.7671,0.7596
41,Federated,VGG13,0.7682,0.7847999999999999
42,Federated,VGG13,0.7688,0.7636000000000001
43,Federated,VGG13,0.769,0.7736
44,Federated,VGG13,0.7718,0.7816000000000001
45,Federated,VGG13,0.7741,0.7624
46,Federated,VGG13,0.7765,0.7699999999999999
47,Federated,VGG13,0.7787,0.7716
48,Federated,VGG13,0.7763,0.7844
49,Federated,VGG13,0.7787,0.7692
50,Federated,VGG13,0.7772,0.7908
51,Federated,VGG13,0.7781,0.7744
52,Federated,VGG13,0.7821,0.7776
53,Federated,VGG13,0.7761,0.7639999999999999
54,Federated,VGG13,0.7764,0.7724
55,Federated,VGG13,0.7799,0.7784000000000001
56,Federated,VGG13,0.7808,0.7756000000000001
57,Federated,VGG13,0.7801,0.7804000000000001
58,Federated,VGG13,0.7774,0.7644
59,Federated,VGG13,0.7828,0.7812000000000001
60,Federated,VGG13,0.777,0.7756000000000001
61,Federated,VGG13,0.7796,0.7716000000000001
62,Federated,VGG13,0.7755,0.7632000000000001
63,Federated,VGG13,0.7774,0.7932
64,Federated,VGG13,0.7768,0.7615999999999999
65,Federated,VGG13,0.7793,0.7824000000000001
66,Federated,VGG13,0.7776,0.7799999999999999
67,Federated,VGG13,0.7793,0.7732000000000001
68,Federated,VGG13,0.7793,0.7676000000000001
69,Federated,VGG13,0.7791,0.768
70,Federated,VGG13,0.7786,0.7919999999999999
71,Federated,VGG13,0.7781,0.7924
72,Federated,VGG13,0.7785,0.7904
73,Federated,VGG13,0.7778,0.7832
74,Federated,VGG13,0.7777,0.7672000000000001
75,Federated,VGG13,0.778,0.782
76,Federated,VGG13,0.7777,0.76
77,Federated,VGG13,0.7783,0.7872
78,Federated,VGG13,0.7778,0.7776000000000001
79,Federated,VGG13,0.7781,0.7924
80,Federated,VGG13,0.7783,0.768
81,Federated,VGG13,0.7776,0.7724
82,Federated,VGG13,0.777,0.7859999999999999
83,Federated,VGG13,0.7771,0.7736
84,Federated,VGG13,0.7772,0.7884
85,Federated,VGG13,0.777,0.7812000000000001
86,Federated,VGG13,0.7776,0.7859999999999999
87,Federated,VGG13,0.7777,0.7751999999999999
88,Federated,VGG13,0.7776,0.7696
89,Federated,VGG13,0.7774,0.7619999999999999
90,Federated,VGG13,0.776,0.7728
91,Federated,VGG13,0.7765,0.7612
92,Federated,VGG13,0.7762,0.7868
93,Federated,VGG13,0.7767,0.7676000000000001
94,Federated,VGG13,0.7765,0.7736000000000001
95,Federated,VGG13,0.7766,0.7867999999999999
96,Federated,VGG13,0.777,0.788
97,Federated,VGG13,0.777,0.7772
98,Federated,VGG13,0.7782,0.7856
99,Federated,VGG13,0.779,0.7608
100,Federated,VGG13,0.7787,0.7924
