round,strategy,c_loss,c_accuracy,d_accuracy
4,FedAvgM,1.998464434961729,0.2772,0.2772
5,FedAvgM,1.921772661088388,0.3118,0.3118
6,FedAvgM,1.858504904976374,0.3406,0.3406
7,FedAvgM,1.7780738887907583,0.364,0.364
8,FedAvgM,1.7206277002262165,0.378,0.378
9,FedAvgM,1.681269485739213,0.3898,0.3898
10,FedAvgM,1.6705379848238788,0.3918,0.3918
11,FedAvgM,1.6254878768438026,0.4077,0.4077
12,FedAvgM,1.6036943333058418,0.4166,0.4166
13,FedAvgM,1.5865136822567711,0.4265,0.4265
14,FedAvgM,1.5707613003404834,0.4283,0.4283
15,FedAvgM,1.5623725939400588,0.4351,0.4351
16,FedAvgM,1.5342746097830278,0.4519,0.4518999999999999
17,FedAvgM,1.5232618202137045,0.455,0.4549999999999999
18,FedAvgM,1.4938141771509676,0.4641,0.4641
19,FedAvgM,1.4777145747896991,0.4679,0.4679
20,FedAvgM,1.4668689649316329,0.4749,0.4749
21,FedAvgM,1.4474655631222302,0.4786,0.4786000000000001
22,FedAvgM,1.43566389174401,0.4888,0.4888
23,FedAvgM,1.436302969727335,0.4858,0.4857999999999999
24,FedAvgM,1.423377141167846,0.4958,0.4958
25,FedAvgM,1.4118659994270228,0.4944,0.4944
26,FedAvgM,1.397067809406715,0.5063,0.5063
27,FedAvgM,1.3729816328121136,0.5093,0.5093
28,FedAvgM,1.3977577837207649,0.497,0.497
29,FedAvgM,1.360341736032993,0.5133,0.5133
30,FedAvgM,1.3536927684952942,0.5106,0.5106
31,FedAvgM,1.347886708718312,0.5208,0.5208
32,FedAvgM,1.330056659782989,0.522,0.522
33,FedAvgM,1.3230025587202627,0.5315,0.5314999999999999
34,FedAvgM,1.3166252751893637,0.5308,0.5308
35,FedAvgM,1.3236457667773285,0.5232,0.5232
36,FedAvgM,1.301870605613612,0.5352,0.5352
37,FedAvgM,1.2869681466983844,0.5389,0.5389
38,FedAvgM,1.2774205856685397,0.5421,0.5421
39,FedAvgM,1.2819013218336468,0.5405,0.5405
40,FedAvgM,1.2665404051165037,0.544,0.544
41,FedAvgM,1.26250518877295,0.5464,0.5463999999999999
42,FedAvgM,1.2544754728486267,0.5505,0.5505
43,FedAvgM,1.2504704677605931,0.5519,0.5519
44,FedAvgM,1.2521430684041372,0.5506,0.5506
45,FedAvgM,1.2406895009777217,0.557,0.5570000000000002
46,FedAvgM,1.2310538533367688,0.5622,0.5622
47,FedAvgM,1.2371608169772956,0.5593,0.5593
48,FedAvgM,1.2252238641811322,0.565,0.565
49,FedAvgM,1.2140036957173408,0.5697,0.5697
50,FedAvgM,1.2219599968270412,0.5672,0.5672000000000001
51,FedAvgM,1.2137599987319754,0.5676,0.5676
52,FedAvgM,1.227342223819298,0.5606,0.5606
53,FedAvgM,1.191875908948198,0.5735,0.5735
54,FedAvgM,1.1991790653784065,0.5724,0.5724
55,FedAvgM,1.1965520630908917,0.5738,0.5738
56,FedAvgM,1.1868603569042833,0.5828,0.5828
57,FedAvgM,1.186519127857836,0.5776,0.5776
58,FedAvgM,1.1887282208551335,0.5779,0.5779
59,FedAvgM,1.1767998956426788,0.5846,0.5846
60,FedAvgM,1.181148986273174,0.5848,0.5848
61,FedAvgM,1.179157871234266,0.5812,0.5812
62,FedAvgM,1.1775487480284292,0.5828,0.5828
