round,strategy,fl_scale,c_loss,c_accuracy,c_recall,c_precision,c_f1_score,d_accuracy,d_recall,d_precision,d_f1_score
1,Central,0.0,2.2973944597606417,0.1174,0.031066285057989168,0.11740000000000002,0.046748242357328676,0.0,,,
2,Central,0.0,2.2749381005009517,0.1579,0.12549606438358873,0.1579,0.09863426597371779,0.0,,,
3,Central,0.0,2.169341449496112,0.1921,0.1324979176388657,0.1921,0.11543659963844392,0.0,,,
4,Central,0.0,2.0699144632001465,0.2319,0.19039905656277706,0.2319,0.17269455155309021,0.0,,,
5,Central,0.0,2.0185275304166574,0.2581,0.2584698375138995,0.2581,0.2165530275250322,0.0,,,
6,Central,0.0,1.9741178419016585,0.269,0.2565958387000904,0.269,0.21722642376249773,0.0,,,
7,Central,0.0,1.9228873358497136,0.2933,0.29692784203492867,0.2933,0.2653042055743434,0.0,,,
8,Central,0.0,1.8641773960258388,0.3023,0.29215123931379655,0.30229999999999996,0.25532681015386566,0.0,,,
9,Central,0.0,1.81510459924046,0.3206,0.3949288750046585,0.32060000000000005,0.27470813417004136,0.0,,,
10,Central,0.0,1.8036941486068918,0.3345,0.3322131923437862,0.33449999999999996,0.30353112720762565,0.0,,,
11,Central,0.0,1.737782588487939,0.3502,0.3614771039787078,0.35019999999999996,0.2994438739438033,0.0,,,
12,Central,0.0,1.7369852081129822,0.3613,0.40090056338554836,0.36129999999999995,0.33796400595187065,0.0,,,
13,Central,0.0,1.9477484618561178,0.3224,0.3586000511846702,0.3224,0.27449571741462514,0.0,,,
14,Central,0.0,1.690345607226408,0.3887,0.39224966850498466,0.38870000000000005,0.3602395109684493,0.0,,,
15,Central,0.0,1.733787939518313,0.3446,0.4222740224851633,0.34459999999999996,0.32118284399321473,0.0,,,
16,Central,0.0,1.6049880830547478,0.4048,0.39769194336766167,0.4048,0.3818358504253073,0.0,,,
17,Central,0.0,1.6151135888280748,0.4053,0.4118518320145932,0.4053,0.3687971468258204,0.0,,,
18,Central,0.0,1.6188324825673164,0.4052,0.4097147220026449,0.40519999999999995,0.3827201471083579,0.0,,,
19,Central,0.0,1.6994348839868474,0.3805,0.4010333117027282,0.38049999999999995,0.3612803542880761,0.0,,,
20,Central,0.0,1.6622586537011061,0.385,0.4236399172623533,0.385,0.37423628217057237,0.0,,,
21,Central,0.0,1.6480498600609694,0.3835,0.45270734629257775,0.3835,0.353828188553435,0.0,,,
22,Central,0.0,1.5407977662509,0.4351,0.4327594042618391,0.4351,0.4149727284111743,0.0,,,
23,Central,0.0,1.5521510522576827,0.4241,0.4461997078192105,0.4241,0.40989683014858713,0.0,,,
24,Central,0.0,1.584379817866072,0.4042,0.457375656155729,0.4042,0.37860729213026084,0.0,,,
25,Central,0.0,1.5739981464192838,0.428,0.4735561222548701,0.42800000000000005,0.4250630933752064,0.0,,,
26,Central,0.0,1.5782623336284975,0.4064,0.45049262040243787,0.40639999999999993,0.37512637992714776,0.0,,,
27,Central,0.0,1.5206098782865307,0.449,0.4606673415370987,0.449,0.4397813982714954,0.0,,,
28,Central,0.0,1.509355772899676,0.4299,0.4517640169476982,0.42989999999999995,0.39918593036311767,0.0,,,
29,Central,0.0,1.6123358916632737,0.4156,0.4590424546683719,0.41559999999999997,0.39137947070236867,0.0,,,
30,Central,0.0,1.5150858918322792,0.4527,0.46928547910176616,0.4527,0.43089816759718724,0.0,,,
31,Central,0.0,1.4487930491000791,0.4766,0.4813046483313901,0.4766,0.4698804105052109,0.0,,,
32,Central,0.0,1.5343861308278917,0.4431,0.47340588299304825,0.4431,0.43740768249010636,0.0,,,
33,Central,0.0,1.4652439129503467,0.4733,0.48978410848317167,0.47329999999999994,0.47180503030321647,0.0,,,
34,Central,0.0,1.469327458852454,0.4736,0.49601767865388524,0.47359999999999997,0.4518537294107149,0.0,,,
35,Central,0.0,1.466838841196857,0.4608,0.4827806200103593,0.46080000000000004,0.4409232393329724,0.0,,,
36,Central,0.0,1.3940201711051072,0.4985,0.5006929615797806,0.49850000000000005,0.49004033918472123,0.0,,,
37,Central,0.0,1.4447547604766073,0.4804,0.4941377308406333,0.48040000000000005,0.4699876955308463,0.0,,,
38,Central,0.0,1.7435925957522815,0.3743,0.48767948881954376,0.37429999999999997,0.3610890397260624,0.0,,,
39,Central,0.0,1.3681839719603333,0.5105,0.5097936968354774,0.5105000000000001,0.4960553751797153,0.0,,,
40,Central,0.0,1.528137960011446,0.4674,0.5074943874655566,0.46740000000000004,0.46923264212300647,0.0,,,
41,Central,0.0,1.6082914041567453,0.4103,0.5090500419212535,0.41030000000000005,0.3941528570882112,0.0,,,
42,Central,0.0,1.4229953621007219,0.4884,0.5155763229871322,0.48840000000000006,0.4876954685829748,0.0,,,
43,Central,0.0,1.5093418872809108,0.4604,0.4884376330403247,0.4603999999999999,0.44228232825163627,0.0,,,
44,Central,0.0,1.4049638902084738,0.4979,0.5117086160430565,0.4979,0.49545258962027117,0.0,,,
45,Central,0.0,1.6014941342269318,0.4355,0.5250812015796263,0.43550000000000005,0.4372755860137151,0.0,,,
46,Central,0.0,1.4583106931251815,0.4784,0.51112709150213,0.4784,0.46292879148322896,0.0,,,
47,Central,0.0,1.3719935824599447,0.5061,0.5272951170570822,0.5061000000000001,0.4982276140068918,0.0,,,
48,Central,0.0,1.3316526307335383,0.5227,0.5336344658726402,0.5227,0.5108438117308923,0.0,,,
49,Central,0.0,1.408668097061447,0.4933,0.5379946848746491,0.49329999999999996,0.48419802175599214,0.0,,,
50,Central,0.0,1.3241388873208928,0.526,0.5244587116257118,0.526,0.5211310802721093,0.0,,,
51,Central,0.0,1.4771402380134486,0.4669,0.5106777792381323,0.4669,0.44011506843313997,0.0,,,
52,Central,0.0,1.3001597493509702,0.5309,0.5420187605512876,0.5309,0.523652765664955,0.0,,,
53,Central,0.0,1.5627604240103612,0.4473,0.49818916223777415,0.4473,0.4366572151548464,0.0,,,
54,Central,0.0,1.3492601521407501,0.5144,0.5302773193684126,0.5144,0.5060133968482518,0.0,,,
55,Central,0.0,1.3189775958845886,0.5243,0.5413971517627085,0.5243,0.5230661773713596,0.0,,,
56,Central,0.0,1.3919473614873765,0.493,0.5422308265400957,0.493,0.48639951856222474,0.0,,,
57,Central,0.0,1.3884126989147332,0.5058,0.5367177379770134,0.5058,0.4937118528125615,0.0,,,
58,Central,0.0,1.4699286086649834,0.4806,0.5362596425221595,0.4806,0.48257565361828786,0.0,,,
59,Central,0.0,1.372022521646717,0.5123,0.5316293199601578,0.5123,0.492100655467988,0.0,,,
60,Central,0.0,1.3511645612837393,0.5138,0.5570780268858668,0.5138,0.5073361410292608,0.0,,,
61,Central,0.0,1.251232246809368,0.557,0.5560132141018083,0.5569999999999999,0.5518504054570481,0.0,,,
62,Central,0.0,1.3210299437559103,0.5233,0.5326605515346234,0.5233,0.513109852377861,0.0,,,
63,Central,0.0,1.2746157118036776,0.5458,0.5557025155548151,0.5458000000000001,0.541462051972603,0.0,,,
64,Central,0.0,1.3769165488738049,0.5053,0.5514385507267222,0.5053,0.5081150680418389,0.0,,,
65,Central,0.0,1.4202820636049103,0.5005,0.5381114907864213,0.5005,0.48049911938808726,0.0,,,
66,Central,0.0,1.3075941891609868,0.5291,0.5622421448652848,0.5291,0.5206243307920311,0.0,,,
67,Central,0.0,1.7163186360009108,0.4247,0.531591007650815,0.42469999999999997,0.42420968369420387,0.0,,,
68,Central,0.0,1.3225431366811824,0.5182,0.5696985028316227,0.5182,0.5208453864248801,0.0,,,
69,Central,0.0,1.3467592453654809,0.5201,0.5615996886304625,0.5201,0.5138768908625132,0.0,,,
70,Central,0.0,1.289176521421988,0.5387,0.5748623641407604,0.5387000000000001,0.5392539810245071,0.0,,,
71,Central,0.0,1.2437273294110842,0.5533,0.564383991148395,0.5532999999999999,0.5527805934637673,0.0,,,
72,Central,0.0,1.35939637467831,0.5154,0.558062561452073,0.5154000000000001,0.5181857955058516,0.0,,,
73,Central,0.0,1.2992166808888883,0.5329,0.5676401282763457,0.5329,0.5287064162092869,0.0,,,
74,Central,0.0,1.2410978297644024,0.5526,0.5798087333633422,0.5526,0.5530514199426442,0.0,,,
75,Central,0.0,1.2962831002247484,0.5415,0.5604155949271552,0.5415,0.5245184112658516,0.0,,,
76,Central,0.0,1.310254934467847,0.5393,0.587995120688642,0.5393000000000001,0.533011546697397,0.0,,,
77,Central,0.0,1.4110558395144306,0.5138,0.5439562329682677,0.5138,0.504041460774914,0.0,,,
78,Central,0.0,1.3432616915883897,0.519,0.562440083513655,0.519,0.5123721813187132,0.0,,,
79,Central,0.0,1.2818562169618244,0.5377,0.5707100657395052,0.5377,0.5347676640468082,0.0,,,
80,Central,0.0,1.2959896326065063,0.5347,0.5695824574233996,0.5347,0.5273748278243687,0.0,,,
81,Central,0.0,1.3211387018614178,0.5333,0.5667528046868264,0.5333,0.5243719495464569,0.0,,,
82,Central,0.0,1.290980109685584,0.5389,0.5713019654817941,0.5388999999999999,0.5329383845062472,0.0,,,
83,Central,0.0,1.3039619213418117,0.5384,0.5767515935640601,0.5384,0.5332415509243219,0.0,,,
84,Central,0.0,1.2561047122448306,0.5532,0.5837057671583581,0.5532000000000001,0.5507647876621816,0.0,,,
85,Central,0.0,1.8449692250807075,0.3942,0.557865023594813,0.3942,0.37834856428543867,0.0,,,
86,Central,0.0,1.353202323370342,0.5197,0.5755927494584359,0.5197,0.5206012764567254,0.0,,,
87,Central,0.0,1.2499639241001275,0.5484,0.5738000188767128,0.5484,0.5438063829552973,0.0,,,
88,Central,0.0,1.2658134351802777,0.5508,0.5486422426316029,0.5508,0.544024779847536,0.0,,,
89,Central,0.0,1.2343095224114913,0.5579,0.5782697811148728,0.5579000000000001,0.5569356442123491,0.0,,,
90,Central,0.0,1.2940633900557892,0.5448,0.5902566369840514,0.5448000000000001,0.5460154768708831,0.0,,,
91,Central,0.0,1.2828097705599628,0.5374,0.5623585460062148,0.5374000000000001,0.5229857457781323,0.0,,,
92,Central,0.0,1.2261824049527132,0.558,0.5893556155262772,0.558,0.557199361121085,0.0,,,
93,Central,0.0,1.2261942715584477,0.5677,0.5833340029681412,0.5677,0.5633633902132809,0.0,,,
94,Central,0.0,1.1713651260243187,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.0,,,
95,Central,0.0,1.254079278511337,0.5675,0.5927690793121245,0.5675,0.5629543960825824,0.0,,,
96,Central,0.0,1.2043837806846522,0.5676,0.5975005908165318,0.5675999999999999,0.5652639322658797,0.0,,,
97,Central,0.0,1.2118205382854124,0.5775,0.5836959060313412,0.5775,0.5617061069241402,0.0,,,
98,Central,0.0,1.2496781047386458,0.553,0.6089459140166269,0.553,0.5536336316430572,0.0,,,
99,Central,0.0,1.245190290710594,0.5581,0.5936064759799087,0.5581,0.5560011605238507,0.0,,,
100,Central,0.0,1.4085981800586362,0.5165,0.5821006943299329,0.5165,0.4997804287042581,0.0,,,
1,FedAvg,0.25,1.1735918544515778,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.544,0.5291111111111111,0.5415925925925926,0.48783597883597885
2,FedAvg,0.25,1.172213281257243,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.5760000000000001,0.5073333333333334,0.5038148148148148,0.47784223184223185
3,FedAvg,0.25,1.1712605945671661,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.584,0.5738333333333332,0.5879999999999999,0.5285757575757575
4,FedAvg,0.25,1.1798980960363075,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.5680000000000001,0.5580370370370369,0.5827407407407408,0.5130740740740741
5,FedAvg,0.25,1.1734916597981997,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.552,0.5042962962962962,0.5393703703703704,0.4818399871733205
6,FedAvg,0.25,1.1741373886035968,0.5862,0.5985599065791559,0.5862,0.5800489352615542,0.56,0.5393333333333332,0.5552592592592591,0.5042592592592593
