round,Centralized,model,c_loss,c_accuracy,c_recall,c_precision,c_f1_score
1,Centralized,Resnet34,0.045578255748748776,0.4814,0.5165607800986491,0.4814,0.45791391712530627
2,Centralized,Resnet34,0.03675730029940605,0.5917,0.6092481937390805,0.5917,0.5869467147093338
3,Centralized,Resnet34,0.03212523804306984,0.6439,0.6472341975310618,0.6439,0.6384183893740116
4,Centralized,Resnet34,0.02999936772286892,0.6696,0.6886258641105122,0.6696,0.6637856606425835
5,Centralized,Resnet34,0.028877369913458822,0.6858,0.6997427309464741,0.6858000000000001,0.6882303822875915
6,Centralized,Resnet34,0.03244482006728649,0.6639,0.6823669058604172,0.6639,0.6628946622311656
7,Centralized,Resnet34,0.028070984910428524,0.7049,0.7106856251396162,0.7049,0.7034177278562912
8,Centralized,Resnet34,0.028615691308677197,0.7088,0.7144685105369214,0.7088,0.7076429867584462
9,Centralized,Resnet34,0.031225950932502747,0.7001,0.7190815305003095,0.7001000000000001,0.701899412139532
10,Centralized,Resnet34,0.03494739558696747,0.6806,0.6961874162087831,0.6806000000000001,0.6848373316796766
11,Centralized,Resnet34,0.033906789419054985,0.6978,0.708825928515245,0.6978,0.6985384005186542
12,Centralized,Resnet34,0.03539325160682202,0.7038,0.7059659059130684,0.7038,0.7020500227749621
13,Centralized,Resnet34,0.03778480568230152,0.7035,0.7110996562962386,0.7035,0.7055665085493251
14,Centralized,Resnet34,0.04007689584195614,0.6919,0.7019268568776296,0.6919,0.6908047974973001
15,Centralized,Resnet34,0.039589703515172006,0.706,0.703149278180758,0.706,0.7010309796302716
16,Centralized,Resnet34,0.03860250845402479,0.7192,0.7187715203259858,0.7192000000000001,0.7181658367145147
17,Centralized,Resnet34,0.04128190042376518,0.7129,0.7142404058533176,0.7129,0.7106111679520517
18,Centralized,Resnet34,0.04933124153912068,0.6707,0.6903104563599645,0.6707000000000001,0.6723558115075066
19,Centralized,Resnet34,0.04259228030443191,0.7153,0.7114339406184984,0.7152999999999999,0.7115009642700791
20,Centralized,Resnet34,0.04954037598669529,0.6973,0.7019343820843134,0.6973,0.6928893770983583
21,Centralized,Resnet34,0.04357498057037592,0.7154,0.7119031065349357,0.7154,0.7113554377696758
22,Centralized,Resnet34,0.04851755280792713,0.6992,0.7097129984424989,0.6992,0.6969523894516481
23,Centralized,Resnet34,0.04417964106798172,0.7215,0.7261452580219181,0.7215,0.7227832368719589
24,Centralized,Resnet34,0.04534900501966477,0.7216,0.728821464457747,0.7215999999999999,0.7239152096611557
25,Centralized,Resnet34,0.051241481348872187,0.7019,0.7121526284189208,0.7019,0.7021653722895247
26,Centralized,Resnet34,0.04814676665663719,0.7202,0.7215297632694156,0.7202,0.7191983710719386
27,Centralized,Resnet34,0.05083863463103771,0.7078,0.7170637145938312,0.7078,0.7070028352818926
28,Centralized,Resnet34,0.048059559148550035,0.7211,0.7241628794588186,0.7211,0.7201654483675067
29,Centralized,Resnet34,0.06386273428499699,0.6554,0.6904072203551882,0.6554000000000001,0.6597139163844954
30,Centralized,Resnet34,0.05875466909408569,0.7033,0.7058396053875375,0.7032999999999999,0.6991464639077074
31,Centralized,Resnet34,0.0491866428822279,0.7261,0.7267577163483108,0.7261,0.7243959395223555
32,Centralized,Resnet34,0.057773120456933974,0.7087,0.7249829100510001,0.7087,0.7070250942239401
33,Centralized,Resnet34,0.056076730301976206,0.7139,0.7226377861935124,0.7139,0.7137631124913701
34,Centralized,Resnet34,0.061247511529922485,0.7041,0.7091654551991542,0.7041,0.6994979384042698
35,Centralized,Resnet34,0.04931699048876762,0.7288,0.7282069529860377,0.7288000000000001,0.7273740551007839
36,Centralized,Resnet34,0.0515734424829483,0.7327,0.7332764614523462,0.7327000000000001,0.7324652490865038
37,Centralized,Resnet34,0.054585452032089234,0.7234,0.7255175688368868,0.7234,0.7213925451362166
38,Centralized,Resnet34,0.05475240844413638,0.7249,0.7247981731602766,0.7249,0.7236306779582055
39,Centralized,Resnet34,0.05177276867926121,0.7238,0.7259598046045042,0.7238,0.7220874366002669
40,Centralized,Resnet34,0.05159714404791593,0.7257,0.7283262233331167,0.7257000000000001,0.7256521525845319
41,Centralized,Resnet34,0.05254187277555466,0.7263,0.7238975266650428,0.7263,0.7237339267435824
42,Centralized,Resnet34,0.052127027881145475,0.7305,0.7301187963380829,0.7304999999999999,0.7298362532845706
43,Centralized,Resnet34,0.055972197511792186,0.7252,0.7277324984869988,0.7252,0.7255131942080792
44,Centralized,Resnet34,0.06176577315926552,0.7038,0.7237912779379471,0.7038,0.7014350819582436
45,Centralized,Resnet34,0.054186765806376935,0.7245,0.7247037752787719,0.7244999999999999,0.7223303965289605
46,Centralized,Resnet34,0.06065900332331657,0.7024,0.7074614338921406,0.7024000000000001,0.6981210959635451
47,Centralized,Resnet34,0.05913609792590141,0.7099,0.7160646045107439,0.7099,0.7067361810762705
48,Centralized,Resnet34,0.05309586368501187,0.7338,0.7349766377807605,0.7338,0.7336580807882811
49,Centralized,Resnet34,0.05708911541700363,0.7323,0.730338296568043,0.7323000000000001,0.7298214126368701
50,Centralized,Resnet34,0.05630557914674282,0.7325,0.7337526109303224,0.7324999999999999,0.7327199363737
51,Centralized,Resnet34,0.054361533814668656,0.7303,0.7340703453042441,0.7303,0.7313160670642666
52,Centralized,Resnet34,0.05402029886543751,0.7291,0.7299147995389312,0.7291,0.728955222653209
53,Centralized,Resnet34,0.05748099444061518,0.728,0.7275551206024727,0.728,0.7263809179239645
54,Centralized,Resnet34,0.05677471678256989,0.7347,0.7349850131041986,0.7347,0.7341109512733275
55,Centralized,Resnet34,0.05766393808424473,0.7259,0.725005454865669,0.7259,0.7239357515891992
56,Centralized,Resnet34,0.05586866523623466,0.7389,0.7401487832150744,0.7389,0.7387561316897198
57,Centralized,Resnet34,0.05703165338039398,0.7333,0.7362778742550253,0.7333000000000001,0.7329475423064673
58,Centralized,Resnet34,0.0568012332201004,0.7369,0.7355924849349961,0.7369,0.7352255636561218
59,Centralized,Resnet34,0.055712451120465994,0.7379,0.7380667878654167,0.7379,0.7375912662956503
60,Centralized,Resnet34,0.057245998904109,0.7335,0.7341201815980145,0.7335,0.7323395487470552
61,Centralized,Resnet34,0.05475583319067955,0.7388,0.7378963711753729,0.7388,0.7377989326465749
62,Centralized,Resnet34,0.05697445634007454,0.737,0.7377555227379969,0.7369999999999999,0.7361971171487542
63,Centralized,Resnet34,0.05760183459818363,0.732,0.7357887462430047,0.732,0.7334038519750982
64,Centralized,Resnet34,0.06026876572072506,0.7208,0.7221968073999248,0.7208,0.7196073329989584
65,Centralized,Resnet34,0.05795403999388218,0.7278,0.7284908719666976,0.7278,0.727305294792882
66,Centralized,Resnet34,0.060583619005978105,0.7303,0.7276385024391329,0.7303,0.7274531447441026
67,Centralized,Resnet34,0.062466894674301145,0.728,0.728285395575553,0.728,0.726748514854572
68,Centralized,Resnet34,0.05941205818355084,0.7325,0.7326878501546646,0.7325,0.731223343198042
69,Centralized,Resnet34,0.06359237817525863,0.7176,0.7308621803993439,0.7176,0.7212404493281755
70,Centralized,Resnet34,0.05754417017996311,0.7276,0.7288304068916359,0.7276,0.7266520579932572
71,Centralized,Resnet34,0.06124056653380394,0.7153,0.7168831239239244,0.7153,0.7141601932111002
72,Centralized,Resnet34,0.0657914086341858,0.7118,0.7256692100595149,0.7118,0.712487108757135
73,Centralized,Resnet34,0.05898424976468086,0.7315,0.7369546796630686,0.7314999999999999,0.7332615633397249
74,Centralized,Resnet34,0.06311582910493016,0.7161,0.7259106363124721,0.7161,0.7128466180998634
75,Centralized,Resnet34,0.05824534545093775,0.7328,0.7363567454982024,0.7327999999999999,0.7314708844551332
76,Centralized,Resnet34,0.05724800518155098,0.7318,0.7302497957078001,0.7318,0.7300489154999055
77,Centralized,Resnet34,0.057191376961767675,0.7377,0.7401903941034707,0.7377,0.7378299412528877
