round,Centralized,model,c_loss,c_accuracy,c_recall,c_precision,c_f1_score
1,Centralized,VGG16,0.051024665462970735,0.3949,0.49108725879765336,0.3949,0.3780366097066209
2,Centralized,VGG16,0.04194918298721313,0.5151,0.6008540624887545,0.5151,0.5112111976300266
3,Centralized,VGG16,0.05015419095754623,0.4882,0.6375319280774935,0.48819999999999997,0.4674988693874346
4,Centralized,VGG16,0.02673809842169285,0.703,0.739057791316246,0.703,0.7065145778158182
5,Centralized,VGG16,0.03451569074988365,0.6438,0.7306208713300937,0.6438,0.6493226255811353
6,Centralized,VGG16,0.023038582637906074,0.7569,0.7638882872137236,0.7569,0.7544927080042766
7,Centralized,VGG16,0.02577942368090153,0.7261,0.768237141005301,0.7261,0.7255041666550041
8,Centralized,VGG16,0.025115507696568964,0.7518,0.7710567535064927,0.7518,0.750322537893247
9,Centralized,VGG16,0.024064554992318153,0.7634,0.7824803899179618,0.7634,0.7675960491036795
10,Centralized,VGG16,0.02507918520271778,0.7794,0.7943618244514468,0.7794,0.7823989805956394
11,Centralized,VGG16,0.02378002879470587,0.782,0.7825675826324803,0.7819999999999999,0.7814274862449131
12,Centralized,VGG16,0.026007904555648564,0.7802,0.7870756649734997,0.7802,0.780186160521408
13,Centralized,VGG16,0.031412177658081054,0.75,0.7873455292406156,0.75,0.7540236416884712
14,Centralized,VGG16,0.026196304367482662,0.7722,0.7743863059959667,0.7722,0.7708612180973762
15,Centralized,VGG16,0.02890416054725647,0.7711,0.7886413891918299,0.7710999999999999,0.7745232315812173
16,Centralized,VGG16,0.030107129216194153,0.7829,0.786917162543504,0.7829,0.7829312793244386
17,Centralized,VGG16,0.028361993484199047,0.7946,0.7978122013922326,0.7946,0.7942942056113427
18,Centralized,VGG16,0.029040197538584472,0.7969,0.8021459252939384,0.7968999999999999,0.7980853340935313
19,Centralized,VGG16,0.03045423340499401,0.7776,0.7926111186971956,0.7775999999999998,0.7788276400899806
20,Centralized,VGG16,0.03313261288441718,0.7876,0.7951607269913624,0.7876000000000001,0.7896280271204675
21,Centralized,VGG16,0.029709835521876813,0.8021,0.8016963838037148,0.8021,0.8012345228438343
22,Centralized,VGG16,0.03599466982036829,0.7896,0.7943060419432857,0.7896,0.7875517596053931
23,Centralized,VGG16,0.030703045403957366,0.7925,0.7978512940392272,0.7925,0.7931541896196974
24,Centralized,VGG16,0.03175780725777149,0.8025,0.8047349978750784,0.8025,0.8031923869464419
25,Centralized,VGG16,0.031515715152025225,0.8047,0.8059108912725985,0.8047000000000001,0.8045119056078063
26,Centralized,VGG16,0.031630300371348855,0.8014,0.8044098479295403,0.8013999999999999,0.8018289048846017
27,Centralized,VGG16,0.033032540947943924,0.8066,0.8066340162968203,0.8065999999999999,0.8060836883020068
28,Centralized,VGG16,0.031445129391551016,0.7971,0.7979911800404192,0.7971,0.7957394456161941
29,Centralized,VGG16,0.053537012162804605,0.7271,0.7659773685175166,0.7271,0.7306630061136021
30,Centralized,VGG16,0.0336245348200202,0.8106,0.8127423099087976,0.8106,0.8113352427532456
31,Centralized,VGG16,0.03430333278551698,0.8088,0.8091396918093514,0.8088000000000001,0.8080492988250059
32,Centralized,VGG16,0.03530314497202635,0.8047,0.8048240119165154,0.8047000000000001,0.8026935617054066
33,Centralized,VGG16,0.03645486606359482,0.8008,0.8073341832316547,0.8008,0.8024714194811324
34,Centralized,VGG16,0.03415060980618,0.804,0.8119609180876344,0.804,0.8056428750728057
35,Centralized,VGG16,0.03638933609426022,0.8018,0.8041631075782207,0.8018000000000001,0.8012925470382151
36,Centralized,VGG16,0.03143081453051418,0.8066,0.8075393885286329,0.8066000000000001,0.8067453412477075
37,Centralized,VGG16,0.03590539048612118,0.7986,0.7992172419555329,0.7986000000000001,0.7970658596471709
38,Centralized,VGG16,0.03191429293435067,0.808,0.8091379799589754,0.808,0.8082878808823033
39,Centralized,VGG16,0.03666413052026182,0.8098,0.8128330732117952,0.8097999999999999,0.8104213924303115
40,Centralized,VGG16,0.03558919357806444,0.8111,0.813014518425059,0.8110999999999999,0.8117520173059776
41,Centralized,VGG16,0.03391827895194292,0.8065,0.8080271587357959,0.8065000000000001,0.8068664945084629
42,Centralized,VGG16,0.038772086819633844,0.8078,0.8114911797916431,0.8078000000000001,0.807435773021511
43,Centralized,VGG16,0.039743710792064665,0.8102,0.8112594469255624,0.8102,0.809840271036669
44,Centralized,VGG16,0.03968267529010773,0.7824,0.7884129881886847,0.7824,0.7834595788764819
45,Centralized,VGG16,0.0349487937675789,0.8076,0.8080943494627316,0.8076000000000001,0.807009121016482
46,Centralized,VGG16,0.0357263470351696,0.8097,0.8093649196783644,0.8097000000000001,0.8089222038689279
47,Centralized,VGG16,0.03417059555053711,0.8059,0.8114077759977111,0.8059,0.807798803305193
48,Centralized,VGG16,0.03740820772408042,0.8101,0.8097649870482172,0.8100999999999999,0.8096226380195664
49,Centralized,VGG16,0.03968310510069132,0.7979,0.8040619584694472,0.7979,0.7984068962345543
50,Centralized,VGG16,0.04182552713304758,0.8016,0.8090937947937606,0.8016,0.8008859668052846
51,Centralized,VGG16,0.03821430023163557,0.8067,0.8076895674804397,0.8067,0.8065934804021513
52,Centralized,VGG16,0.03529305815063417,0.8119,0.8110146221934432,0.8119,0.8109442196519707
53,Centralized,VGG16,0.04085300607234239,0.8112,0.8133542866443453,0.8112,0.8114439072961886
54,Centralized,VGG16,0.04331273703724146,0.8106,0.8138804618915962,0.8106,0.8109199409640908
55,Centralized,VGG16,0.03882799309596885,0.8104,0.8104676721793916,0.8104000000000001,0.808088978084862
56,Centralized,VGG16,0.03777102732658386,0.8074,0.8077708682992191,0.8074,0.805475690709808
57,Centralized,VGG16,0.037835397791862485,0.8082,0.80909583798877,0.8081999999999999,0.8082027546923657
