round,Centralized,model,c_loss,c_accuracy,c_recall,c_precision,c_f1_score
1,Centralized,VGG13,0.045261351776123046,0.4572,0.4922498869612871,0.4572,0.44664690981566774
2,Centralized,VGG13,0.038777206993103025,0.5644,0.5876919548640396,0.5644,0.5422726071779034
3,Centralized,VGG13,0.03158561314046383,0.6556,0.6797905033483773,0.6556,0.6529390084653103
4,Centralized,VGG13,0.026070616546273233,0.7133,0.733656461084379,0.7133,0.7127294586260577
5,Centralized,VGG13,0.02578178154826164,0.725,0.7477501738090325,0.725,0.7272994678981257
6,Centralized,VGG13,0.024187477402389048,0.7392,0.7495177956549195,0.7392000000000001,0.7385485261740458
7,Centralized,VGG13,0.022663719828426836,0.7616,0.7734119955650428,0.7615999999999999,0.7624208097450208
8,Centralized,VGG13,0.03123514482676983,0.7159,0.780662401359026,0.7159000000000001,0.7295089033817205
9,Centralized,VGG13,0.027536502738296987,0.7576,0.7679901042403836,0.7576,0.7567300367776351
10,Centralized,VGG13,0.027853805932402612,0.7547,0.7694620920974022,0.7547,0.7553044205120898
11,Centralized,VGG13,0.03010305321216583,0.758,0.7686720494650758,0.7580000000000001,0.7557703277943706
12,Centralized,VGG13,0.029022127601504327,0.7735,0.7858869464360541,0.7735,0.775237897447025
13,Centralized,VGG13,0.03517367841750384,0.7385,0.7598829089983484,0.7385,0.7416247657801724
14,Centralized,VGG13,0.029908899345248936,0.7806,0.782415388484512,0.7806,0.7786281859493899
15,Centralized,VGG13,0.03238004788905382,0.7662,0.775291560294987,0.7662,0.7682303947854078
16,Centralized,VGG13,0.0312957885928452,0.7826,0.784439522448644,0.7826,0.7809256676078078
17,Centralized,VGG13,0.029188869920372965,0.7878,0.788874313626256,0.7878,0.7862048717371952
18,Centralized,VGG13,0.03397566185370088,0.783,0.7872444296530231,0.7829999999999999,0.7837761632041799
19,Centralized,VGG13,0.03925452010631561,0.7599,0.7765657235821183,0.7599,0.7612679872607295
20,Centralized,VGG13,0.034108871529251336,0.7858,0.7880600282710818,0.7857999999999999,0.7843705300740966
21,Centralized,VGG13,0.03371209389865398,0.7863,0.7893448492064291,0.7863,0.7861683011433332
22,Centralized,VGG13,0.035841905857622626,0.7801,0.7899497108284683,0.7801000000000001,0.7823229293582528
23,Centralized,VGG13,0.03866125729382038,0.7853,0.7893822080716941,0.7853,0.7846685792782265
24,Centralized,VGG13,0.03506203594356775,0.7814,0.7837213574655251,0.7814,0.7787957697910367
25,Centralized,VGG13,0.04161713070273399,0.7801,0.7967507006234857,0.7800999999999999,0.7849314637679516
26,Centralized,VGG13,0.03949495544880629,0.7829,0.7914567622731327,0.7829,0.7856346652902481
27,Centralized,VGG13,0.03427778754457832,0.7848,0.7875147705120956,0.7847999999999999,0.7839437867924565
28,Centralized,VGG13,0.03900159639567137,0.7933,0.79839698392047,0.7933,0.7940741971586129
29,Centralized,VGG13,0.039218079702556134,0.7962,0.7979080897559648,0.7962,0.7953984115613665
30,Centralized,VGG13,0.04013162018060684,0.7857,0.7871117888184664,0.7857000000000001,0.7842375671166322
31,Centralized,VGG13,0.039045670859515665,0.7899,0.790984554858312,0.7898999999999999,0.7890596170710269
32,Centralized,VGG13,0.03804591451659799,0.7901,0.794594691629559,0.7901,0.7913961207427489
33,Centralized,VGG13,0.037108913114666936,0.7975,0.8030541458677278,0.7975000000000001,0.7985167543727553
34,Centralized,VGG13,0.0356796017229557,0.7985,0.8008523594422459,0.7985,0.7989570289621495
35,Centralized,VGG13,0.03631744627207518,0.7952,0.7938050618492078,0.7952,0.7937517324423237
36,Centralized,VGG13,0.041424280984699725,0.7901,0.7931684366026438,0.7901,0.7908982145206831
37,Centralized,VGG13,0.04308546165078878,0.7917,0.7974241336563181,0.7917000000000001,0.792942654181592
38,Centralized,VGG13,0.037481859659403566,0.7906,0.7947674861520113,0.7906,0.7915549125433042
39,Centralized,VGG13,0.03545587439090014,0.7993,0.8017230677373615,0.7993,0.8000387522487019
40,Centralized,VGG13,0.040617038540542126,0.7921,0.7925421139198516,0.7921,0.791312892929851
41,Centralized,VGG13,0.040487001993507146,0.7895,0.795353326702781,0.7895000000000001,0.7895219010872041
42,Centralized,VGG13,0.04203091554045677,0.7958,0.7987690381368487,0.7958000000000001,0.7968060095774474
43,Centralized,VGG13,0.04065748733952641,0.796,0.7965327049379164,0.796,0.795032684540126
44,Centralized,VGG13,0.03995431971028447,0.8004,0.8020289136519786,0.8004,0.8008712450754489
45,Centralized,VGG13,0.04001039959611371,0.8012,0.8011492471110054,0.8012,0.8003436442247857
46,Centralized,VGG13,0.04439232754856348,0.8002,0.8053419059066733,0.8002,0.8014523218740057
47,Centralized,VGG13,0.04215832423288375,0.8044,0.8065887514208725,0.8044,0.8047420386731089
48,Centralized,VGG13,0.04745630974397063,0.7963,0.7985989416749343,0.7963,0.7965728589608886
49,Centralized,VGG13,0.04490399103425443,0.7952,0.7978845379166313,0.7952000000000001,0.7945462149385586
50,Centralized,VGG13,0.040983413848653436,0.7972,0.796737392063855,0.7971999999999999,0.7959943173951969
51,Centralized,VGG13,0.04460163418725133,0.7951,0.7995693434490214,0.7950999999999999,0.7956883706947825
52,Centralized,VGG13,0.03968451783584896,0.7971,0.7989703587966244,0.7971,0.7968423634697016
53,Centralized,VGG13,0.046607234741747376,0.8039,0.8092804324218127,0.8039,0.8053480402050657
54,Centralized,VGG13,0.04203023704662919,0.8001,0.8021978171323758,0.8000999999999999,0.7997269774845803
55,Centralized,VGG13,0.04052107209935785,0.7992,0.7996889750802311,0.7992,0.7980887253937651
56,Centralized,VGG13,0.043244077252596616,0.8026,0.8060160455539555,0.8026,0.8035431152824513
57,Centralized,VGG13,0.0437398951202631,0.794,0.7976000081520549,0.794,0.7947497967545896
58,Centralized,VGG13,0.04246025049649179,0.7931,0.7943253055047205,0.7931,0.7922771113335982
59,Centralized,VGG13,0.036847644689679146,0.8015,0.8019170068756093,0.8014999999999999,0.8005271293886475
60,Centralized,VGG13,0.04433705061133951,0.8063,0.8098142783311697,0.8063,0.807222547881905
61,Centralized,VGG13,0.038673124467022715,0.7995,0.8001261679410318,0.7994999999999999,0.7994381105072038
62,Centralized,VGG13,0.0471568647608161,0.7979,0.8050915749953539,0.7978999999999999,0.7999385064065756
63,Centralized,VGG13,0.04723315574228763,0.7909,0.7918640255137319,0.7909,0.7896613005572383
64,Centralized,VGG13,0.04462608378082514,0.803,0.8029761918502274,0.8029999999999999,0.8025759753853509
65,Centralized,VGG13,0.04270764208585024,0.8043,0.8034164579189269,0.8042999999999999,0.8013829981664446
66,Centralized,VGG13,0.04599776676744222,0.8067,0.807569948877042,0.8067,0.8066518015231425
67,Centralized,VGG13,0.044255102057009936,0.799,0.7980305563512021,0.799,0.797326258910462
